[12:08:03] [RUN exp1_baseline] START Training 50000 steps | hp={'learning_rate': 0.0001, 'gamma': 0.99, 'batch_size': 32, 'buffer_size': 100000, 'train_freq': 4, 'gradient_steps': 1, 'target_update_interval': 10000, 'exploration_fraction': 0.1, 'exploration_initial_eps': 1.0, 'exploration_final_eps': 0.01, 'verbose': 0}
[12:08:03] [RUN exp1_baseline] logging started
[12:08:12] [RUN exp1_baseline] t=209 | episode_end len=854 reward=-21.00 | eps=0.9588
[12:08:21] [RUN exp1_baseline] t=406 | episode_end len=825 reward=-21.00 | eps=0.9198
[12:08:29] [RUN exp1_baseline] t=595 | episode_end len=782 reward=-21.00 | eps=0.8824
[12:08:38] [RUN exp1_baseline] t=826 | episode_end len=951 reward=-19.00 | eps=0.8367
[12:08:49] [RUN exp1_baseline] t=1015 | episode_end len=764 reward=-21.00 | eps=0.7992
[12:09:05] [RUN exp1_baseline] t=1261 | episode_end len=1005 reward=-21.00 | eps=0.7505
[12:09:22] [RUN exp1_baseline] t=1448 | episode_end len=764 reward=-21.00 | eps=0.7135
[12:09:38] [RUN exp1_baseline] t=1638 | episode_end len=793 reward=-21.00 | eps=0.6759
[12:09:48] [RUN exp1_baseline] t=1835 | episode_end len=802 reward=-21.00 | eps=0.6369
[12:10:03] [RUN exp1_baseline] t=2035 | episode_end len=824 reward=-21.00 | eps=0.5973
[12:10:14] [RUN exp1_baseline] t=2221 | episode_end len=764 reward=-21.00 | eps=0.5604
[12:10:41] [RUN exp1_baseline] t=2472 | episode_end len=1033 reward=-21.00 | eps=0.5107
[12:10:55] [RUN exp1_baseline] t=2659 | episode_end len=764 reward=-21.00 | eps=0.4737
[12:11:17] [RUN exp1_baseline] t=2892 | episode_end len=951 reward=-20.00 | eps=0.4276
[12:11:33] [RUN exp1_baseline] t=3091 | episode_end len=825 reward=-21.00 | eps=0.3882
[12:11:47] [RUN exp1_baseline] t=3326 | episode_end len=966 reward=-20.00 | eps=0.3417
[12:12:04] [RUN exp1_baseline] t=3530 | episode_end len=824 reward=-21.00 | eps=0.3013
[12:12:21] [RUN exp1_baseline] t=3730 | episode_end len=824 reward=-21.00 | eps=0.2617
[12:12:37] [RUN exp1_baseline] t=3919 | episode_end len=764 reward=-21.00 | eps=0.2242
