episode,reward,length,timestep
1,-21.0,974,974
2,-20.0,871,1845
3,-21.0,990,2835
4,-21.0,844,3679
5,-20.0,1003,4682
6,-21.0,783,5465
7,-21.0,783,6248
8,-20.0,838,7086
9,-21.0,792,7878
10,-21.0,946,8824
11,-20.0,837,9661
12,-20.0,965,10626
13,-21.0,764,11390
14,-21.0,792,12182
15,-21.0,886,13068
16,-21.0,880,13948
17,-21.0,764,14712
18,-21.0,764,15476
19,-21.0,947,16423
20,-20.0,903,17326
21,-21.0,792,18118
22,-21.0,885,19003
23,-21.0,792,19795
24,-21.0,824,20619
25,-21.0,825,21444
26,-21.0,824,22268
27,-21.0,824,23092
28,-19.0,1047,24139
29,-21.0,792,24931
30,-21.0,826,25757
31,-21.0,764,26521
32,-21.0,792,27313
33,-21.0,840,28153
34,-21.0,782,28935
35,-21.0,825,29760
36,-21.0,764,30524
37,-21.0,764,31288
38,-21.0,764,32052
39,-20.0,1029,33081
40,-21.0,764,33845
41,-20.0,976,34821
42,-21.0,810,35631
43,-20.0,983,36614
44,-20.0,901,37515
45,-21.0,825,38340
46,-21.0,764,39104
47,-21.0,764,39868
48,-21.0,764,40632
49,-21.0,824,41456
50,-21.0,824,42280
51,-21.0,764,43044
52,-21.0,782,43826
53,-21.0,764,44590
54,-21.0,764,45354
55,-21.0,885,46239
56,-21.0,764,47003
57,-21.0,764,47767
58,-21.0,764,48531
59,-20.0,844,49375
60,-21.0,764,50139
61,-20.0,842,50981
62,-21.0,764,51745
63,-21.0,764,52509
64,-21.0,792,53301
65,-21.0,764,54065
66,-21.0,782,54847
67,-21.0,824,55671
68,-21.0,764,56435
69,-21.0,764,57199
70,-21.0,764,57963
71,-21.0,914,58877
72,-21.0,764,59641
73,-21.0,826,60467
74,-21.0,764,61231
75,-21.0,852,62083
76,-21.0,826,62909
77,-21.0,764,63673
78,-21.0,826,64499
79,-21.0,886,65385
80,-21.0,764,66149
81,-20.0,981,67130
82,-21.0,764,67894
83,-21.0,764,68658
84,-21.0,764,69422
85,-21.0,783,70205
86,-21.0,842,71047
87,-21.0,764,71811
88,-21.0,764,72575
89,-21.0,764,73339
90,-21.0,764,74103
91,-21.0,764,74867
92,-21.0,792,75659
93,-21.0,824,76483
94,-21.0,764,77247
95,-21.0,764,78011
96,-21.0,764,78775
97,-21.0,764,79539
98,-21.0,852,80391
99,-21.0,764,81155
100,-21.0,825,81980
101,-21.0,764,82744
102,-21.0,884,83628
103,-21.0,826,84454
104,-21.0,764,85218
105,-21.0,764,85982
106,-21.0,764,86746
107,-21.0,824,87570
108,-21.0,1311,88881
109,-21.0,764,89645
110,-21.0,764,90409
111,-21.0,1007,91416
112,-21.0,878,92294
113,-20.0,1053,93347
114,-21.0,862,94209
115,-21.0,825,95034
116,-21.0,764,95798
117,-21.0,764,96562
118,-21.0,820,97382
119,-21.0,764,98146
120,-21.0,807,98953
121,-21.0,792,99745
122,-19.0,981,100726
123,-21.0,764,101490
124,-21.0,764,102254
125,-21.0,764,103018
126,-21.0,764,103782
127,-20.0,979,104761
128,-21.0,764,105525
129,-21.0,764,106289
130,-21.0,882,107171
131,-20.0,917,108088
132,-21.0,764,108852
133,-21.0,764,109616
134,-20.0,842,110458
135,-21.0,880,111338
136,-20.0,904,112242
137,-20.0,1042,113284
138,-21.0,764,114048
139,-20.0,921,114969
140,-21.0,792,115761
141,-20.0,901,116662
142,-21.0,764,117426
143,-21.0,904,118330
144,-21.0,764,119094
145,-20.0,944,120038
146,-21.0,782,120820
147,-21.0,782,121602
148,-21.0,830,122432
149,-21.0,804,123236
150,-21.0,764,124000
151,-21.0,811,124811
152,-21.0,913,125724
153,-21.0,764,126488
154,-21.0,764,127252
155,-21.0,1010,128262
156,-21.0,764,129026
157,-20.0,998,130024
158,-21.0,862,130886
159,-21.0,916,131802
160,-19.0,1043,132845
161,-21.0,793,133638
162,-20.0,1163,134801
163,-21.0,1464,136265
164,-21.0,904,137169
165,-21.0,852,138021
166,-19.0,993,139014
167,-21.0,1003,140017
168,-19.0,986,141003
169,-21.0,911,141914
170,-21.0,897,142811
171,-21.0,812,143623
172,-20.0,843,144466
173,-20.0,1262,145728
174,-20.0,907,146635
175,-21.0,783,147418
176,-21.0,783,148201
177,-21.0,764,148965
178,-20.0,915,149880
179,-20.0,1057,150937
180,-21.0,899,151836
181,-20.0,967,152803
182,-18.0,1286,154089
183,-18.0,1225,155314
184,-19.0,1708,157022
185,-20.0,986,158008
186,-20.0,1048,159056
187,-18.0,1130,160186
188,-21.0,843,161029
189,-21.0,811,161840
190,-18.0,1213,163053
191,-19.0,1292,164345
192,-20.0,1048,165393
193,-20.0,1300,166693
194,-21.0,1369,168062
195,-18.0,1404,169466
196,-20.0,843,170309
197,-20.0,965,171274
198,-20.0,842,172116
199,-20.0,866,172982
200,-19.0,1000,173982
201,-19.0,995,174977
202,-20.0,1001,175978
203,-20.0,874,176852
204,-21.0,844,177696
205,-20.0,842,178538
206,-21.0,764,179302
207,-17.0,1221,180523
208,-21.0,783,181306
209,-20.0,879,182185
210,-19.0,1215,183400
211,-20.0,1029,184429
212,-18.0,1277,185706
213,-21.0,891,186597
214,-20.0,999,187596
215,-20.0,1276,188872
216,-20.0,1126,189998
217,-20.0,843,190841
218,-19.0,1221,192062
219,-21.0,792,192854
220,-18.0,1218,194072
221,-20.0,948,195020
222,-20.0,903,195923
223,-20.0,988,196911
224,-16.0,1458,198369
225,-20.0,838,199207
226,-21.0,853,200060
227,-21.0,1335,201395
228,-21.0,941,202336
229,-20.0,1087,203423
230,-19.0,1129,204552
231,-21.0,782,205334
232,-19.0,1201,206535
233,-19.0,1156,207691
234,-17.0,1379,209070
235,-21.0,764,209834
236,-19.0,1091,210925
237,-19.0,1147,212072
238,-19.0,982,213054
239,-18.0,1271,214325
240,-20.0,1231,215556
241,-21.0,1007,216563
242,-19.0,1102,217665
243,-21.0,1017,218682
244,-13.0,1716,220398
245,-21.0,792,221190
246,-20.0,1048,222238
247,-21.0,961,223199
248,-20.0,879,224078
249,-19.0,986,225064
250,-19.0,1129,226193
251,-19.0,1193,227386
252,-20.0,1245,228631
253,-18.0,1412,230043
254,-18.0,1400,231443
255,-17.0,1456,232899
256,-16.0,1255,234154
257,-18.0,1208,235362
258,-21.0,839,236201
259,-21.0,1167,237368
260,-21.0,1025,238393
261,-16.0,1432,239825
262,-16.0,1313,241138
263,-17.0,1176,242314
264,-16.0,1351,243665
265,-20.0,907,244572
266,-19.0,1262,245834
267,-19.0,1393,247227
268,-20.0,931,248158
269,-21.0,1068,249226
270,-21.0,878,250104
271,-20.0,1294,251398
272,-21.0,858,252256
273,-21.0,820,253076
274,-20.0,1240,254316
275,-19.0,1163,255479
276,-18.0,1068,256547
277,-19.0,1250,257797
278,-19.0,1082,258879
279,-18.0,1096,259975
280,-17.0,1193,261168
281,-19.0,1103,262271
282,-17.0,1429,263700
283,-20.0,1175,264875
284,-20.0,1357,266232
285,-19.0,1123,267355
286,-19.0,1142,268497
287,-14.0,1607,270104
288,-20.0,1033,271137
289,-19.0,1172,272309
290,-20.0,1058,273367
291,-20.0,1202,274569
292,-20.0,1123,275692
293,-19.0,1129,276821
294,-19.0,1102,277923
295,-20.0,1255,279178
296,-20.0,1222,280400
297,-17.0,1476,281876
298,-18.0,1171,283047
299,-17.0,1432,284479
300,-21.0,1057,285536
301,-20.0,1044,286580
302,-18.0,1426,288006
303,-20.0,1339,289345
304,-19.0,1146,290491
305,-19.0,1298,291789
306,-17.0,1405,293194
307,-19.0,1249,294443
308,-19.0,1022,295465
309,-17.0,1453,296918
310,-18.0,1350,298268
311,-20.0,993,299261
312,-18.0,1221,300482
313,-16.0,1534,302016
314,-17.0,1646,303662
315,-18.0,1284,304946
316,-20.0,1087,306033
317,-19.0,1120,307153
318,-18.0,1452,308605
319,-16.0,1773,310378
320,-20.0,1141,311519
321,-17.0,1520,313039
322,-18.0,1262,314301
323,-21.0,935,315236
324,-19.0,1061,316297
325,-16.0,1391,317688
326,-17.0,1465,319153
327,-17.0,1370,320523
328,-18.0,1180,321703
329,-19.0,1183,322886
330,-19.0,1195,324081
331,-11.0,1917,325998
332,-18.0,1476,327474
333,-17.0,1349,328823
334,-21.0,1143,329966
335,-18.0,1229,331195
336,-17.0,1264,332459
337,-15.0,1722,334181
338,-19.0,1289,335470
339,-20.0,1180,336650
340,-19.0,1450,338100
341,-18.0,1241,339341
342,-11.0,1881,341222
343,-19.0,1139,342361
344,-20.0,1216,343577
345,-20.0,1370,344947
346,-17.0,1480,346427
347,-20.0,986,347413
348,-17.0,1431,348844
349,-19.0,1304,350148
350,-17.0,1440,351588
351,-17.0,1376,352964
352,-12.0,1970,354934
353,-20.0,1469,356403
354,-16.0,1475,357878
355,-16.0,1446,359324
356,-17.0,1459,360783
357,-19.0,1257,362040
358,-19.0,1371,363411
359,-16.0,1472,364883
360,-19.0,1245,366128
361,-17.0,1567,367695
362,-18.0,1406,369101
363,-18.0,1425,370526
364,-16.0,1371,371897
365,-16.0,1577,373474
366,-14.0,1583,375057
367,-15.0,1548,376605
368,-14.0,1691,378296
369,-17.0,1414,379710
370,-18.0,1353,381063
371,-19.0,1365,382428
372,-18.0,1602,384030
373,-13.0,1786,385816
374,-21.0,1139,386955
375,-21.0,1327,388282
376,-20.0,1307,389589
377,-18.0,1375,390964
378,-18.0,1467,392431
379,-19.0,1525,393956
380,-18.0,1410,395366
381,-21.0,993,396359
382,-18.0,1428,397787
383,-20.0,1217,399004
384,-15.0,1723,400727
385,-16.0,1786,402513
386,-21.0,1083,403596
387,-17.0,1522,405118
388,-15.0,1735,406853
389,-18.0,1369,408222
