timestep,ep_length,ep_reward
705,783,-21
1373,672,-20
2306,816,-7
3228,847,-15
4450,1132,-7
5137,740,-5
5976,787,-16
6898,1118,-7
7446,661,-16
8432,1051,-4
9321,921,-18
10192,1035,-8
11203,1031,-7
12201,979,-18
12967,927,-6
13742,874,-6
14633,935,-13
15464,831,-13
16229,800,-19
17175,954,-16
17945,683,-17
19151,1061,0
20392,1041,-11
21381,973,-11
22576,1123,-19
23605,902,-15
24734,1092,-15
25631,899,11
26622,1027,-7
27530,791,-12
28274,912,-10
29357,962,-8
30289,918,-15
30946,600,-5
31997,1011,-21
32919,817,0
33702,921,-3
34605,920,-15
35244,730,-7
36017,886,-21
37166,1065,-18
38024,928,-15
38906,919,-5
39919,904,1
40815,1022,-11
41734,951,-14
42877,1046,0
43838,939,-6
44858,1249,-4
46159,1108,-19
46921,761,-15
47676,816,-21
48509,851,-9
49780,1234,0
50794,1115,-4
51776,949,-21
52747,888,-15
53539,869,-8
54283,918,-11
55111,850,-16
55719,693,0
56798,1029,-10
57572,818,-10
58626,997,-1
59234,757,-7
59798,605,-9
61204,1188,-9
62077,770,-1
62820,777,-4
63630,988,-16
64592,894,-21
65269,600,-7
66091,927,-4
67244,1058,1
68137,943,-11
68907,946,-13
69718,847,-21
70663,1026,-18
71260,671,-7
72300,1074,-4
73253,917,-1
74021,874,-3
74575,605,-4
75314,901,-11
76032,704,-10
77025,931,-10
77930,870,-13
78961,1056,-9
80049,1271,-18
81154,1152,-9
82079,953,-21
83164,987,-20
84199,909,-2
85179,896,-21
85742,669,2
86784,1117,-21
87803,952,-11
88835,939,-17
89676,807,-3
90433,693,-19
91285,987,3
92393,1058,-16
93230,790,-13
94130,846,-6
94981,1047,-13
95989,1030,-21
96846,1057,-2
98006,1135,-11
98704,644,-16
99887,1099,-15
100744,821,-5
101751,1130,-12
102427,725,-21
103083,787,-6
104111,896,-10
104909,923,-16
106202,1115,-10
107101,843,-4
108263,1026,-9
109293,973,-15
110287,847,-19
111182,808,-11
111834,604,-8
112525,715,-10
113335,791,-21
113939,735,-6
114946,1068,-20
115783,737,-21
116813,998,-10
117686,845,-9
118568,830,-14
119343,812,-21
120304,1080,-21
121210,1125,-21
121961,928,-21
122993,875,-12
124025,1006,-19
125028,927,-10
125887,887,-7
126641,854,-14
127665,965,-21
128544,859,-4
129941,1211,-3
130928,1014,-3
131614,768,-21
132648,977,-13
133587,871,-11
134350,860,-14
135263,844,-17
136007,716,-5
136965,849,-7
137981,890,-11
139015,873,-9
139821,832,-6
140733,1102,-14
141867,969,-16
142647,876,-17
143816,1024,-14
144628,706,-12
145634,865,-11
146776,1005,0
147738,912,-2
148877,969,-17
149927,1018,-16
150795,725,0
151572,783,-11
152312,653,-7
153229,871,-14
154275,883,-21
155128,766,-5
155952,801,2
156880,793,-6
157753,899,-9
158508,864,4
159712,1044,-8
161121,1202,-10
161641,600,-10
162513,889,-11
163220,767,-4
164106,994,-17
165014,1076,-14
165644,752,-14
166397,867,-9
167295,870,-20
168143,819,-11
169183,941,-11
169841,740,-12
170869,863,-21
171755,1018,-9
172522,941,0
173318,887,-15
174340,860,-13
175191,915,1
176060,902,-12
177337,1327,-5
178520,1122,-11
179331,859,-8
180325,860,-21
181361,941,-12
182142,907,-11
182982,960,-2
183954,925,-5
184924,836,-10
185581,731,-19
186567,905,-21
187822,1153,-19
188695,839,-9
189664,926,-15
190299,684,-21
191147,883,-11
191795,705,3
192454,636,-11
193479,926,-3
194257,805,-10
195122,881,-8
195871,885,-12
196746,1022,-2
197645,945,-19
198196,663,-2
199010,772,-9
199976,837,-17
200728,879,-10
201936,1077,0
202936,890,-13
203903,871,-2
204788,899,-10
205878,1083,-3
206861,956,-1
207518,808,3
208436,869,-3
209301,1070,-18
210144,952,-13
210990,806,-2
211681,820,-16
212683,1079,-12
213825,1109,2
214710,1061,-3
215590,850,-6
216340,834,-4
217262,803,-21
218621,1159,-13
219729,958,-9
220806,1113,-4
221797,885,-12
222470,753,-12
223408,829,-21
224278,907,-9
225347,923,-21
226156,723,-7
227122,925,-16
228201,986,-16
229061,889,-13
230172,946,-5
231245,1000,-9
232221,989,-8
233076,837,-13
233769,756,-7
234604,838,-13
235541,926,-4
236607,983,-17
237666,992,-19
238411,698,-7
239519,940,-6
240267,927,-9
241051,882,-13
241908,853,-3
243062,1109,-20
244278,1037,-15
245269,830,-10
246575,1218,-3
247371,885,-12
248537,1028,-14
249434,811,-15
250381,871,-14
251224,932,-10
251992,711,0
253008,1037,-8
253970,1085,-2
255019,905,-21
255790,811,-3
256901,1005,-16
257492,700,-11
258502,917,-1
259415,801,-11
260275,925,-14
261274,932,-20
262273,980,-19
263239,1075,-14
264291,929,-14
265133,737,3
265993,859,-4
266966,945,3
267816,803,-10
268848,1024,0
269894,1039,-11
270922,971,-6
271549,777,-13
272267,640,-6
273092,914,-14
274231,994,1
275008,867,1
276220,1078,-11
277140,942,-9
278248,956,-1
279320,906,-7
280275,850,5
281003,862,-1
281647,600,-21
282568,990,-13
283826,1111,-14
284652,818,0
285568,970,-12
286629,1048,-16
287409,770,-19
288280,780,-16
289340,932,-21
289892,666,-17
290372,600,-8
291121,831,-14
292110,829,-14
293211,977,0
294318,1052,-1
295131,930,-6
296107,860,-14
296958,883,-4
297584,600,-21
298724,1084,-16
299425,689,-9
300446,898,-14
301168,894,-10
301822,690,-1
302872,992,-9
303839,883,-13
304969,1170,-9
305986,938,1
306968,941,-5
307900,892,-10
308737,790,-11
309814,948,-6
310605,762,-8
311320,813,-17
312028,825,-7
312888,793,-17
313614,757,-21
314476,856,1
315680,1137,3
316560,810,-9
317810,1087,-2
318947,1051,-14
319890,803,-11
320895,1056,-21
321953,1086,2
323017,900,-9
323937,975,-17
325173,1046,-12
325900,894,-2
326830,812,2
327935,958,-19
328847,926,-17
330196,1175,-14
330773,653,2
331582,910,-21
332196,721,-12
332816,684,-21
333733,949,8
334647,775,0
335870,1228,-15
336943,983,0
337743,803,-2
339161,1191,-10
340059,941,-11
340901,876,-17
342015,965,-6
342915,901,-21
344200,1075,-12
345356,1260,-12
346672,1297,-6
347724,1032,-14
348890,997,-18
350214,1106,-13
350857,741,-10
351843,883,-5
353109,1079,-15
354039,882,-13
355023,839,-18
355978,925,-6
357084,1029,-21
358171,1066,-17
359156,1049,-5
360114,918,-9
361207,961,-5
361972,664,-13
362807,790,-16
363352,600,-15
364209,923,-19
365200,957,-5
366151,821,-9
367641,1246,-21
368675,977,-2
369484,759,-16
370085,743,-21
370821,845,3
371806,927,-21
372356,600,-12
373189,817,-21
373907,860,-21
374738,730,-11
375630,799,-8
376400,717,-3
377310,949,-6
377854,660,-8
378713,849,-4
379462,833,-21
380443,822,-5
381444,910,-16
382752,1248,-9
383822,1044,-3
384760,1109,-3
385875,1022,-8
386740,865,-6
387810,918,-8
388951,967,-18
389453,600,3
390276,695,-9
390852,600,-12
391683,999,-10
392436,638,-13
393265,993,2
394498,1056,-9
395304,816,3
395963,797,-14
396663,781,4
397465,792,-21
398125,698,-9
398687,655,-5
399796,1056,-20
400825,1125,-21
401689,815,-14
402565,1033,-12
403345,874,-11
404179,783,-19
405188,935,-5
405885,799,-7
406635,916,-16
407452,886,-17
408192,794,-2
408981,895,0
410134,965,-7
410960,765,-21
411609,767,-1
412690,1020,-21
413483,883,-18
414301,829,-15
415384,955,-9
416238,955,-10
417380,965,-9
418533,998,-1
419651,1131,-7
420591,994,-6
421317,895,6
422210,775,-16
422891,602,-6
423887,845,-15
424995,983,-17
425875,967,-6
426664,826,3
427543,1097,-21
