timestep,ep_length,ep_reward
224,914,-21.0
426,843,-20.0
626,825,-21.0
832,852,-21.0
1021,764,-21.0
1222,824,-21.0
1454,946,-21.0
1656,843,-20.0
1859,824,-21.0
2110,1027,-19.0
2310,820,-21.0
2530,910,-21.0
2774,992,-20.0
2983,852,-21.0
3182,824,-21.0
3366,764,-21.0
3555,764,-21.0
3775,901,-20.0
3980,829,-21.0
4225,1000,-19.0
4411,764,-21.0
4659,1023,-20.0
4862,842,-21.0
5066,845,-21.0
5270,826,-21.0
5493,916,-21.0
5723,931,-21.0
5932,845,-21.0
6135,821,-21.0
6370,964,-20.0
6580,852,-21.0
6806,920,-19.0
7025,888,-21.0
7214,792,-21.0
7452,987,-20.0
7667,880,-20.0
7884,880,-21.0
8112,940,-21.0
8363,1040,-21.0
8601,969,-21.0
8800,811,-21.0
9001,824,-21.0
9220,890,-20.0
9437,899,-21.0
9635,826,-21.0
9840,843,-20.0
10043,826,-21.0
10237,792,-21.0
10487,1017,-19.0
10707,889,-20.0
10890,764,-21.0
11107,905,-20.0
11292,764,-21.0
11566,1104,-18.0
11785,885,-21.0
11979,792,-21.0
12183,840,-21.0
12407,916,-21.0
12611,824,-21.0
12808,824,-21.0
13028,903,-21.0
13253,921,-20.0
13453,826,-21.0
13650,802,-21.0
13845,792,-21.0
14043,824,-21.0
14262,892,-21.0
14460,824,-21.0
14667,853,-21.0
14895,933,-20.0
15120,937,-19.0
15325,852,-21.0
15572,1008,-20.0
15754,764,-21.0
16013,1070,-19.0
16259,1007,-21.0
16477,887,-21.0
16676,820,-21.0
16870,793,-21.0
17072,824,-21.0
17279,854,-21.0
17481,843,-20.0
17664,764,-21.0
17855,783,-21.0
18083,921,-20.0
18354,1095,-20.0
18537,764,-21.0
18765,942,-21.0
18976,854,-21.0
19201,913,-21.0
19414,871,-21.0
19602,764,-21.0
19810,852,-21.0
20004,793,-21.0
20194,783,-21.0
20401,844,-20.0
20594,792,-21.0
20797,842,-20.0
21031,963,-20.0
21229,825,-21.0
21420,792,-21.0
21602,764,-21.0
21825,913,-21.0
22056,942,-21.0
22283,942,-21.0
22528,1005,-20.0
22734,852,-21.0
22960,937,-19.0
23176,887,-20.0
23377,824,-21.0
23604,921,-20.0
23804,820,-21.0
24081,1130,-19.0
24290,852,-21.0
24490,824,-21.0
24679,764,-21.0
24932,1047,-19.0
25179,1005,-20.0
25383,824,-21.0
25605,918,-21.0
25815,852,-21.0
26036,899,-21.0
26230,792,-21.0
26485,1054,-21.0
26707,903,-20.0
26980,1108,-20.0
27172,792,-21.0
27384,871,-21.0
27635,1039,-19.0
27824,764,-21.0
28017,792,-21.0
28245,931,-20.0
28457,854,-21.0
28663,852,-21.0
28877,871,-20.0
29078,824,-21.0
29275,811,-21.0
29485,853,-21.0
29677,792,-21.0
29867,782,-21.0
30074,857,-21.0
30294,912,-21.0
30484,792,-21.0
30689,838,-21.0
30923,966,-20.0
31144,902,-20.0
31352,852,-21.0
31552,812,-21.0
31805,1023,-19.0
32056,1038,-20.0
32249,810,-21.0
32457,859,-20.0
32682,922,-20.0
32930,1005,-21.0
33171,979,-21.0
33394,914,-21.0
33612,885,-21.0
33831,901,-20.0
34024,783,-21.0
34231,845,-21.0
34487,1045,-19.0
34685,824,-21.0
34879,783,-21.0
35065,764,-21.0
35279,886,-21.0
35492,872,-21.0
35698,852,-21.0
35903,844,-21.0
36117,880,-21.0
36352,965,-21.0
36597,1012,-20.0
36794,823,-21.0
37014,914,-21.0
37206,792,-21.0
37425,886,-21.0
37638,871,-21.0
37918,1137,-18.0
38134,878,-20.0
38342,845,-21.0
38563,905,-21.0
38767,825,-21.0
38960,792,-21.0
39167,843,-21.0
39363,820,-21.0
39563,824,-21.0
39776,863,-21.0
39995,903,-21.0
40198,820,-21.0
40431,946,-21.0
40657,933,-21.0
