timestep,ep_length,ep_reward
224,914,-21.0
426,843,-20.0
626,825,-21.0
832,852,-21.0
1021,764,-21.0
1222,824,-21.0
1454,946,-21.0
1656,843,-20.0
1859,824,-21.0
2110,1027,-19.0
2310,820,-21.0
2530,910,-21.0
2774,992,-20.0
2983,852,-21.0
3182,824,-21.0
3366,764,-21.0
3555,764,-21.0
3775,901,-20.0
3980,829,-21.0
4225,1000,-19.0
4411,764,-21.0
4659,1023,-20.0
4862,842,-21.0
5066,845,-21.0
5274,842,-21.0
5497,915,-21.0
5744,1000,-21.0
5940,792,-21.0
6144,825,-21.0
6362,898,-20.0
6592,931,-20.0
6804,864,-21.0
6992,764,-21.0
7227,975,-21.0
7409,764,-21.0
7629,902,-20.0
7852,906,-21.0
8036,764,-21.0
8225,792,-21.0
8427,826,-21.0
8633,840,-21.0
8839,844,-20.0
9047,845,-21.0
9230,764,-21.0
9433,843,-20.0
9633,824,-21.0
9826,783,-21.0
10049,910,-21.0
10273,913,-20.0
10508,946,-21.0
10713,852,-21.0
10946,967,-20.0
11150,842,-21.0
11351,812,-21.0
11555,824,-21.0
11786,943,-21.0
11971,764,-21.0
12173,825,-21.0
12411,960,-20.0
12623,884,-21.0
12850,932,-19.0
13036,764,-21.0
13258,914,-21.0
13516,1046,-19.0
13724,844,-21.0
13980,1056,-20.0
14182,825,-21.0
14365,764,-21.0
14576,872,-21.0
14797,903,-20.0
14994,825,-21.0
15192,824,-21.0
15412,903,-21.0
15609,824,-21.0
15823,888,-21.0
16021,813,-21.0
16208,764,-21.0
16393,764,-21.0
16604,861,-20.0
16805,820,-21.0
16989,764,-21.0
17221,963,-20.0
17420,826,-21.0
17645,920,-21.0
17849,825,-21.0
18091,978,-21.0
18274,764,-21.0
18458,764,-21.0
18651,783,-21.0
18868,882,-20.0
19089,903,-20.0
19308,889,-20.0
19503,801,-21.0
19689,764,-21.0
19894,844,-20.0
20100,843,-20.0
20327,928,-20.0
20543,892,-21.0
20740,812,-21.0
20934,811,-21.0
21138,843,-21.0
21342,852,-21.0
21528,764,-21.0
21714,764,-21.0
21905,800,-21.0
22131,927,-20.0
22334,840,-21.0
22517,764,-21.0
22717,823,-21.0
22918,824,-21.0
23140,899,-20.0
23341,825,-21.0
23567,926,-20.0
23805,967,-21.0
24002,811,-21.0
24236,946,-21.0
24434,826,-21.0
24635,820,-21.0
24856,891,-21.0
25040,764,-21.0
25267,921,-20.0
25496,931,-20.0
25698,824,-21.0
25946,1025,-20.0
26148,824,-21.0
26372,914,-21.0
26614,992,-21.0
26800,764,-21.0
27009,871,-20.0
27210,812,-21.0
27433,912,-21.0
27635,824,-21.0
27831,792,-21.0
28027,811,-21.0
28234,844,-20.0
28435,826,-21.0
28635,824,-21.0
28845,854,-21.0
29065,903,-20.0
29295,940,-20.0
29494,824,-21.0
29684,792,-21.0
29899,890,-20.0
30093,792,-21.0
30327,963,-21.0
30529,824,-21.0
30791,1067,-19.0
31024,944,-21.0
31232,843,-20.0
31443,878,-20.0
31662,913,-21.0
31862,826,-21.0
32063,824,-21.0
32290,918,-20.0
32520,934,-21.0
32741,906,-21.0
32929,764,-21.0
33144,884,-21.0
33339,792,-21.0
33563,913,-21.0
33755,792,-21.0
33967,879,-20.0
34161,783,-21.0
34384,913,-20.0
34575,792,-21.0
34781,844,-21.0
35017,971,-21.0
35246,939,-20.0
35465,900,-20.0
35677,872,-21.0
35910,965,-21.0
36121,879,-20.0
36319,824,-21.0
36526,853,-21.0
36722,793,-21.0
36913,783,-21.0
37158,996,-19.0
37361,826,-21.0
37573,858,-21.0
37808,961,-21.0
37997,764,-21.0
38188,783,-21.0
38391,830,-21.0
38578,783,-21.0
38810,953,-21.0
39018,845,-21.0
39253,965,-19.0
39505,1018,-20.0
39700,793,-21.0
39915,889,-20.0
40139,909,-21.0
