timestep,ep_length,ep_reward
960,879,-7
1776,947,-20
2596,1015,1
3313,821,-16
3909,613,-9
4483,671,-5
5158,688,-19
6152,989,-16
7107,916,-16
7981,1042,-16
8980,1177,-16
10026,899,-16
10688,716,-5
11630,1079,10
12402,925,-5
13003,662,-20
13968,1058,-15
14999,920,-21
15793,991,-17
16920,1033,-7
17896,853,-18
18774,1064,-21
19560,720,-20
20493,944,-4
21379,803,-8
22326,950,0
23154,1023,-21
24213,1056,-21
25131,953,-13
25970,1011,-18
26935,824,-18
28167,1073,-7
29296,976,-16
30368,926,0
31125,850,-17
32104,856,-1
32939,864,-11
33739,856,-15
34706,960,-13
36025,1110,-19
36843,896,-21
37678,835,-10
38488,945,-13
39293,898,-8
40198,1012,-2
41363,1107,-18
42389,1228,-6
43296,1038,-15
44178,824,-10
44930,845,-11
45975,971,-20
46723,875,-6
47718,851,-18
48763,983,-14
49871,1096,-9
50878,869,-14
51829,1017,-9
52720,769,-1
53725,951,-9
54550,1027,-9
55185,792,-9
55957,717,-10
57039,998,-21
57840,730,-17
58861,961,-3
59733,921,-18
60657,777,-19
61566,864,-4
62718,1118,-11
63691,894,-21
64834,972,-20
66033,1011,-12
66799,672,-18
67640,823,-19
68623,957,-10
69553,778,-9
70390,728,-11
71534,1059,-4
72386,759,-21
73479,938,-9
75046,1400,-7
76217,1048,0
77179,1013,-14
77806,771,-10
78372,619,7
79115,912,-15
80019,1063,-15
80833,919,1
81597,932,-17
82837,1176,7
83873,927,-21
84412,649,-15
85403,1029,-7
86169,852,-14
87190,960,2
88388,1147,-8
89167,827,-21
90157,1180,-13
90805,746,-21
91541,704,-21
92413,919,-15
93843,1252,-11
94645,969,-19
95585,909,-13
96539,999,-10
97777,1216,-16
98947,988,-12
99810,931,-15
100680,1027,-16
101965,1117,-3
102872,994,-5
103762,793,-7
104632,917,-11
105891,1074,-17
107061,1064,-13
108151,939,-15
108989,903,-1
109815,1028,-13
110853,880,-9
111890,1059,3
112656,717,-19
113771,1000,-5
114400,765,-11
115745,1165,-21
116474,851,-18
117401,1103,-6
118083,823,-9
118940,1030,-7
119714,688,-21
120634,1104,-17
121721,1121,-9
122608,899,-14
123459,775,-9
124326,913,-7
125072,839,-6
126325,1047,-11
127256,784,-10
128291,960,6
129101,784,5
130197,1046,-12
130995,810,-18
131516,628,-3
132607,1181,-8
133510,1045,-7
134887,1174,-21
135850,857,-12
137160,1103,-21
138089,941,-9
138755,810,-21
139888,945,-9
140892,907,-11
141454,660,-14
142324,977,-10
143390,1131,-2
144183,787,-8
145474,1132,-10
146812,1163,5
147509,859,-20
148704,1105,-6
149387,848,-15
149995,636,-3
150820,879,-4
151693,911,0
152812,949,-3
153688,891,-21
154582,960,-11
155412,1000,-21
156324,973,-20
157436,1043,-12
158111,828,-15
158791,781,-16
159614,871,-21
160352,905,4
161251,1080,-7
162223,866,-12
163094,986,-17
163722,600,-13
164381,600,-16
165331,946,-6
166222,911,-19
167066,930,-21
167894,892,-13
168518,737,-16
169628,1036,-9
170563,1121,-11
171718,1052,7
172513,871,-20
173235,703,0
174062,984,-21
174758,806,-15
175427,770,-16
176622,1002,-21
177528,763,-13
178377,941,-9
179259,753,-7
180300,1142,5
181215,985,-17
181753,600,-9
182452,764,-9
183384,940,-20
184231,907,-16
185318,1014,-16
186421,1116,-7
187293,745,-21
188243,809,-8
189535,1137,-7
190272,838,-8
191231,852,-14
192373,1211,-9
193546,1042,-13
194282,748,-21
195055,773,-3
195881,867,-8
196840,914,-4
197756,1071,-21
198857,1087,-7
199663,937,-10
200515,777,-20
201429,828,-11
202584,1024,-14
203426,753,-13
204315,817,-15
205503,1103,-4
206386,942,-21
