timestep,ep_length,ep_reward
1004,896,-21
2007,862,-9
3081,1003,-12
4069,950,-16
4775,820,-12
5486,731,-16
6416,929,-18
7162,708,-9
8057,958,1
9174,1125,-15
10218,1131,-2
11047,975,-10
11770,638,-2
12599,1003,-21
13736,1045,-14
14625,1015,-13
15640,905,-4
16501,837,-10
17381,913,-3
18196,895,-19
18995,876,-9
19713,831,4
20727,885,2
21633,1066,0
22840,1029,-18
23748,1023,-4
24576,748,5
25683,981,-15
26704,1103,-21
27652,984,1
28779,1040,0
29545,855,-21
30394,893,-3
31321,936,-15
31926,678,-12
32848,832,0
33948,1100,-21
35151,1210,-2
36166,903,-21
37181,918,-21
38035,848,-20
38794,789,-17
39604,825,-1
40392,786,-17
41153,742,-9
42224,920,-10
43136,788,-15
44011,896,-13
44767,809,-11
45704,817,7
47039,1184,-19
47808,940,-21
48637,959,-5
49740,947,-9
50538,860,-8
51281,910,-17
52326,1158,-16
52921,744,-7
53633,717,-16
54503,734,-21
55383,906,-13
56226,1007,-15
57368,1111,-7
58347,978,-21
59473,955,-21
60315,1013,-8
60965,753,-12
61881,868,-21
62557,743,-14
63205,798,-4
64105,977,-12
65147,872,-17
65979,852,-11
67411,1325,-21
68088,774,-6
69179,954,-21
70123,1004,-12
70840,708,-5
71904,988,-13
72448,600,11
73097,600,-21
73886,966,-13
74632,861,13
75617,1004,-9
76529,920,-2
77147,600,-13
78084,1116,-3
78863,938,-20
79900,1002,-21
80572,773,-13
81582,940,-12
82603,858,-17
83289,648,-17
84066,943,-21
84911,1023,-21
86031,1165,-6
86897,811,-21
88050,1179,-21
88863,818,-6
89702,962,-21
90430,829,-10
91526,1135,-20
92216,822,-21
92974,711,-3
93526,630,-15
94356,932,-13
95244,842,-18
96418,1084,-21
97432,957,-21
98160,747,-11
98934,674,-6
99680,827,-21
100667,847,-21
101317,682,-21
102415,1051,-8
103082,819,-3
104101,1063,-12
104820,894,5
105812,1059,-13
106545,735,-14
107284,764,1
108373,970,-11
109088,765,-14
109861,931,-3
110608,735,-6
111480,740,-11
112282,770,-21
113145,765,-10
114014,780,-20
114834,819,-13
115743,966,1
116933,1168,0
117779,1015,-21
118618,839,-14
119761,1025,-8
120375,642,-21
121157,903,-11
122043,820,-6
123097,990,-13
123890,810,6
124590,693,-12
125675,1019,-7
126486,811,-9
127343,843,-13
127988,804,-8
128768,719,-9
129806,972,-10
130602,744,-11
131423,814,1
132595,1013,-8
133603,977,-20
134666,996,-14
135342,724,-8
135991,745,-18
136911,1025,-14
137807,817,-21
138912,966,-12
139916,933,-21
140989,929,6
141956,879,-4
142754,858,8
143652,856,-13
144442,811,-21
145327,823,-18
146171,910,-21
146963,923,-18
148073,1022,-5
149348,1207,-14
150278,837,-11
151097,900,-21
152306,1053,0
153121,796,-2
154181,1053,-11
155333,972,0
156387,1008,-12
157376,894,-20
158357,1064,-19
159373,980,-15
160306,967,-10
161303,1095,-21
162204,1100,-21
163118,828,-11
163866,920,-2
164650,801,-21
165562,893,-10
166363,936,-9
167265,769,-13
168362,1281,1
169285,792,-10
169895,734,-7
170936,952,-21
171579,619,-15
172306,790,-7
173345,967,-20
174014,745,-14
175203,1032,-19
176166,922,-13
177016,784,-14
178042,1124,-2
178979,862,-19
179793,905,3
180370,713,-21
181313,814,-3
182184,1073,-21
183122,1002,-12
184214,1231,-1
185050,767,3
185780,807,-16
186652,967,-6
187500,843,-21
188470,1030,-11
189161,634,-21
190192,876,-2
190704,611,-6
191322,701,-15
192139,759,6
193016,854,-4
193887,884,-18
195104,1075,-8
195826,897,-21
196649,738,-3
197245,616,-12
197952,828,-21
199204,1053,-21
199897,735,-17
200961,1046,-11
202164,1137,-21
202880,620,5
203532,704,-16
204386,853,-21
205486,1105,-14
206500,1018,-8
207376,850,-7
208237,768,-18
209046,845,-9
209910,896,-3
210636,907,-17
211257,732,-5
212060,759,-14
212878,984,-19
213977,974,-17
215014,1110,-8
215863,846,-17
216915,1063,-21
217725,698,0
218354,735,-15
219544,1015,0
220204,803,-11
221319,1045,-11
222084,939,-14
222944,1011,-15
223580,784,7
224620,872,-4
225739,963,-21
226800,908,-21
227921,1035,-5
228788,807,-17
229545,681,-15
230795,1120,-14
231729,1048,-8
232346,729,-20
233129,798,-19
234025,1069,-4
234985,1016,-11
236092,1028,-19
236786,782,5
237782,1007,-3
239205,1230,-19
240211,898,-1
241008,829,-21
242009,992,-16
243137,1068,-16
244093,856,-16
245036,826,-14
246100,893,-11
247083,1171,-16
248119,875,-13
249071,993,-4
249855,791,-21
250778,1023,5
251624,864,-21
252768,1185,-21
253978,1068,-4
254687,686,-7
255242,600,-14
255941,830,-15
257228,1091,-2
258051,692,5
258809,910,-4
259531,699,-14
260518,881,-16
261481,965,-21
262493,1013,-5
263550,1159,-20
264436,1021,-20
265423,939,-21
266132,777,-9
266960,794,-6
267973,945,-13
268924,803,-13
269728,949,-21
270775,1103,-4
271578,865,-8
272314,652,-10
273372,976,-17
274094,649,-21
274664,600,-17
275606,877,-16
276571,857,-21
277593,1112,-12
278518,1035,-21
279469,810,-16
280560,950,-21
281216,743,-21
282018,749,-21
282552,647,-7
283384,709,-15
284042,730,0
284761,827,-19
285812,1049,-21
286722,992,-21
287561,957,-7
288127,600,-6
288884,750,-10
289653,688,-14
290598,928,-19
291648,999,-4
292485,782,-8
293274,846,-12
294308,998,-21
295083,861,-3
296123,931,-11
297285,1113,-21
298206,1093,-21
299006,794,-11
300125,1155,-11
300954,888,-15
