timestep,ep_length,ep_reward
930,927,-12
1884,826,-7
3064,1070,-13
4416,1129,-15
5416,888,-1
6566,975,-13
7417,861,-1
8314,1015,-7
9307,993,-13
10114,856,-21
10825,813,-15
11741,892,0
12839,1021,-9
14123,1194,-16
15249,1017,-17
16040,987,-5
16816,901,3
17631,935,-16
18359,849,5
19089,816,-15
19826,695,-15
20750,850,0
22153,1175,-2
23139,1040,-13
23847,829,-17
24724,741,-17
25582,905,-9
26304,828,-21
26942,730,-13
27776,849,-18
28364,703,-18
29195,893,-9
29992,960,-4
30984,896,-9
32091,1003,-8
33114,906,-5
34069,1037,-7
34933,1006,-21
36003,951,-8
37027,1112,-21
37819,791,-9
38556,907,-5
39234,822,-12
40142,1119,-10
41074,831,-10
41745,600,2
42769,980,-21
43832,1014,0
44894,994,-11
45755,778,-13
46850,914,-18
47598,766,0
48608,1088,-21
49586,864,-20
50334,647,-20
51355,864,13
52204,895,-7
52901,825,-20
54104,1013,-4
54933,1017,-17
55819,857,-6
56855,866,-9
57554,600,-7
58427,905,-13
59073,792,-12
59983,978,-15
60857,985,-8
61664,844,-9
62723,1129,-13
63712,852,1
64364,803,-11
65201,887,-3
66364,991,-9
67201,938,-14
68043,844,-20
68913,894,-6
69863,952,-13
70474,648,-20
71575,1091,-12
72339,889,0
73472,988,-21
74218,718,-20
74963,771,-16
75586,600,-8
76531,1024,3
77470,824,-8
78142,673,-15
78929,964,4
79835,918,-13
80772,1090,-12
81744,1113,-15
82889,1004,-11
83744,716,-21
84551,910,-20
85433,896,-16
86222,838,0
87235,927,-17
88737,1325,-17
89405,800,-15
90299,784,-4
91393,1088,-6
92677,1130,-17
93751,1059,-2
94678,974,-13
95982,1129,-11
96770,682,-21
97329,600,0
97929,708,-4
98769,959,-9
99765,1140,-4
100481,664,-16
101839,1227,-7
103070,1105,-6
103956,848,-5
104926,1094,-9
106012,1007,-21
106961,886,-1
108157,1002,-19
109066,976,-7
109996,916,-20
110767,728,-10
111457,600,-11
112205,862,-9
113484,1114,-15
114465,903,-14
115209,858,-9
116144,792,-1
116875,835,-2
117806,1062,-6
118605,839,-17
119473,725,-6
120354,856,-11
121402,1030,-11
122115,868,-21
123013,881,-16
123536,613,-8
124307,738,-15
125018,790,-13
126530,1290,-6
127494,1194,-7
128690,1035,-14
129620,958,-1
130361,754,-12
131459,918,-18
132272,805,-17
133513,1120,-21
134553,955,7
135522,840,-10
136530,862,-11
137245,600,-16
137925,600,0
138759,1035,-18
139789,890,-2
141137,1215,-21
142098,1151,-9
143059,1017,-11
143998,1063,0
144891,1022,-15
145845,805,0
