timestep,ep_length,ep_reward
910,832,-19
1920,879,-19
2855,998,-21
3442,629,-16
4446,939,0
5151,621,-10
6055,1023,5
7331,1092,-6
7995,797,-8
9154,1214,1
10159,916,-21
10975,948,-10
11997,1010,-8
12945,938,-17
14118,1000,-9
14916,858,-6
15750,1034,-4
16569,931,0
17301,848,8
18228,1049,-19
19516,1103,-21
20512,1056,-13
21292,767,-21
22208,1046,-18
23172,893,-20
24460,1400,-19
25659,1041,-16
26728,944,-17
27537,760,-10
28646,1043,-5
29660,1122,-9
30416,779,0
31348,914,-10
32170,911,-21
32892,865,-21
34003,946,-8
35012,921,-18
35889,789,-10
36849,1062,-5
37693,991,-15
38857,1009,-17
39884,1086,-3
40647,734,-17
41406,887,-21
42310,877,-14
43208,788,-11
43946,848,-21
44813,1063,-12
45769,877,-1
46527,894,-2
47530,986,-5
48643,1182,-7
49586,967,-21
50369,844,-18
51527,1054,-16
52131,714,-15
52913,750,-10
53688,677,-14
54788,923,-17
56004,1252,-18
57084,922,-20
58076,968,-21
59202,1090,0
59792,718,-9
61086,1219,-3
61913,997,-9
62739,893,0
63645,777,1
64637,1053,-18
65419,892,-21
66548,1072,-11
67505,835,-9
68537,907,-5
69409,1036,-4
70116,880,-15
71093,979,-21
71850,909,-12
72828,1103,-2
73749,925,-15
74659,972,-19
75325,809,-8
76267,998,-21
77142,820,8
78309,1010,-21
79169,775,-13
80129,852,-11
80792,743,-17
81661,946,-12
82512,932,-12
83493,826,-21
84343,906,-4
85230,806,-1
86208,992,-15
87135,969,-9
88043,994,-19
88888,839,-21
89739,979,-21
90850,1109,-17
91864,937,-6
92982,942,-13
94128,1229,-21
94972,1003,-21
95522,600,-3
96316,879,-21
97206,809,-12
97789,723,-17
98599,982,-9
99440,880,-9
100435,959,-21
101540,1108,-17
102480,1168,-17
103390,902,-9
104426,865,-7
105543,1100,5
106771,1151,-19
107692,812,-16
108533,1036,-12
109463,964,-11
110636,1190,-21
111375,833,-20
112305,892,-14
113262,922,-21
114062,872,-18
114700,600,-10
115649,1022,-20
116474,688,-21
117571,1148,-20
118526,845,-21
119471,852,-21
120607,1065,-15
121257,795,-12
122037,847,-12
122843,942,-8
123828,1167,-12
124976,1141,-2
126194,1019,-12
127086,903,-21
127857,716,-9
128734,889,-21
129644,816,-10
130904,1078,9
131832,953,-21
133035,1051,-1
134167,1035,-9
135237,936,-21
136110,823,3
136842,782,-21
137832,1099,-9
139108,1168,-18
140011,925,-12
140835,838,-9
141607,843,-11
142562,879,-21
143456,1012,-3
144440,896,-21
145375,996,-8
146434,1011,-12
147790,1187,-6
148752,932,-6
150015,1058,-2
150718,785,-14
151873,974,-2
152882,865,0
153942,1017,-21
154773,945,-5
155596,851,-15
156624,1122,2
157272,600,-21
158365,1132,-21
159146,795,-21
160288,1028,-3
160934,806,-1
161862,883,0
162839,841,6
163965,945,0
164907,1157,-7
165579,601,-3
166386,889,-8
167510,1131,-17
168381,1039,-18
169702,1181,10
170929,1028,2
171873,936,-12
172633,735,-16
173833,1106,-5
174538,823,1
175524,853,-15
176298,664,-14
177175,960,-21
178227,1017,-14
178929,790,-21
179879,1045,-2
180995,956,-8
181877,771,-17
182863,1021,-16
183678,872,-2
184717,1028,-10
185538,783,-21
186418,883,-5
187484,956,-21
188422,820,-21
189622,1150,1
190491,1069,-21
191507,934,-15
192161,793,-15
192982,946,6
193832,871,-7
194834,891,-11
195648,912,-14
196591,984,-13
197263,716,-21
197958,800,-21
198894,933,-7
199829,826,-20
200679,928,-13
201636,975,0
202852,1027,0
203664,790,0
204507,880,4
205251,738,-13
205844,688,-17
206792,953,-21
207806,1083,-7
208745,857,-21
209741,1035,-15
210689,881,-6
211414,813,-19
212249,786,-20
213051,764,-15
213779,875,-16
214666,928,-17
215324,653,-7
216067,869,-21
217188,952,-8
217820,769,-5
219027,1090,-21
220078,1041,-16
220790,755,-15
221658,751,-9
222416,833,-9
223491,965,-11
224370,779,-11
225243,1036,0
226195,862,-20
227116,1066,-10
228242,1001,5
229268,873,-21
230475,1029,6
231401,1008,-12
231980,600,0
233165,1050,-13
234202,953,-10
235094,1055,-16
236016,1084,-13
236940,1049,-5
238070,1012,-17
238914,887,2
239592,833,-4
240487,920,-12
241437,945,-21
242659,1152,-17
243474,684,-14
244220,725,-8
245290,1070,4
246216,960,-16
247208,1036,-15
247949,820,5
248865,829,-21
249785,944,-17
250490,635,-5
251487,932,-11
252145,786,7
253002,1051,-12
254178,1025,-13
254960,949,-10
255942,847,-8
256517,661,-21
257179,739,-8
258041,867,-13
258726,711,-13
259531,936,-12
260253,808,-12
261077,778,-21
262001,915,-20
263228,1040,-11
264425,1190,-4
265182,937,-19
266037,818,-11
266947,899,-21
267770,902,-16
268648,844,-6
269592,862,-21
270415,946,-14
271427,1046,-20
272367,848,-3
273533,993,-21
274471,909,-11
275377,970,-8
276093,699,-2
277088,956,-8
278017,1043,-18
278709,792,3
279984,1141,-21
280900,865,-12
281949,938,-12
282862,997,-10
283817,985,-9
284959,960,-6
285878,949,-14
286837,832,-15
287554,673,-1
288457,980,-18
289387,780,-21
290641,1089,-13
291358,807,-2
292308,1128,-15
293042,668,-19
293926,814,-11
294804,1008,-2
295762,918,-7
296697,1002,0
297449,936,-8
298396,964,-16
299490,946,-10
300555,1003,-13
301258,723,-21
302556,1154,-13
303735,1200,-21
305000,1096,-11
306282,1164,-9
306976,777,-14
307987,950,-12
308663,724,-21
309855,1184,-15
310668,973,0
311862,1119,-10
312434,642,-21
313585,961,-13
314478,891,-21
315543,1021,-7
316359,791,-4
317098,682,-12
318137,904,-21
318826,761,-9
319609,874,-8
320456,910,7
321513,925,-16
322455,982,-14
323342,959,-18
324104,747,-14
325079,1184,-19
325764,600,2
326584,928,-16
327416,847,-19
328461,953,-13
329318,967,-5
330142,949,-8
331131,890,-11
331749,643,-8
332547,876,-21
333700,1003,-3
334463,847,-10
335322,875,-5
336151,839,-17
337185,941,-9
338355,1002,-14
339274,840,-11
339841,600,-3
340540,787,-18
341607,916,-5
342253,772,-20
342907,635,0
343969,981,-21
344848,1054,-17
345673,836,-19
346311,719,-14
347056,931,-21
347914,1023,-9
349039,1138,-3
349820,870,-4
350653,752,-21
351874,1024,-3
352945,929,-10
353670,902,-14
354778,1131,-21
355600,872,-6
356588,895,-21
357497,1081,-21
358268,841,-18
359094,699,-6
360131,932,-8
361189,1138,-18
362189,896,-15
363381,1110,-12
364409,1027,-12
365231,735,-21
365961,872,-21
366612,614,-21
367499,885,-21
368762,1149,-5
369619,954,-3
370584,1007,-5
371192,727,0
371813,741,-8
372929,967,-2
373658,831,-7
374309,600,0
375511,1083,-21
376372,1004,-21
377427,1217,-20
378051,740,-21
379020,941,0
379915,919,-14
381045,1048,1
381960,1093,-5
383206,1041,-3
384281,1069,-3
385194,1098,-8
386363,1053,-4
387072,773,-9
388163,1017,-20
389166,943,-20
389929,811,-6
390699,929,-11
391536,752,-21
392343,776,2
393269,819,1
393974,724,-21
394727,707,-13
395465,894,5
396268,942,-4
397167,934,-15
397754,638,-5
399025,1111,-21
399946,986,-21
401020,1059,-16
402022,1093,-21
402826,880,-21
403609,844,-14
404692,972,-12
405633,1074,-8
406315,600,-4
407189,805,-11
408013,746,-4
409157,985,-5
409993,1016,-18
410710,843,-2
411360,781,-15
412388,1019,-20
413165,773,-18
414026,938,-17
415215,1012,-14
416072,937,-12
416940,964,-17
417920,1113,-16
418791,1025,-1
419543,791,-21
420655,1045,-6
421312,766,-19
422275,876,-19
423201,1109,-9
424063,759,-7
425020,966,-21
426128,946,-21
427182,1020,-20
428090,963,-20
429003,1030,-11
429758,741,-12
430320,680,-2
430919,727,-11
432013,1140,-21
433254,1139,-13
434271,921,10
435519,1119,1
436526,977,-14
437293,795,-15
438482,1089,-12
439460,843,-13
440259,814,2
441006,829,4
441934,969,-18
443019,972,-3
443955,1103,-20
444924,848,-9
445984,978,5
446925,998,-1
447583,818,-17
448382,861,-19
449449,940,-5
450185,840,-18
451030,969,-12
452266,1066,-16
452946,679,-18
453866,957,-21
454918,946,-12
455500,600,1
456470,968,-5
457219,861,-21
458295,961,-14
459470,1001,-4
460282,937,-5
461181,990,-1
462322,1008,-5
462991,726,-2
464187,1152,-15
464932,856,-21
465837,795,-11
466574,854,2
467326,784,-21
468109,718,-18
469089,929,-19
469907,894,-6
470829,1038,-4
471942,1039,-13
472772,803,-17
473341,600,-13
474331,1235,-14
475433,1177,-21
476206,870,-14
477026,1005,-14
477978,953,-21
478742,824,-2
479569,850,2
480596,1066,-7
481554,900,-8
482384,894,-5
483242,1035,-14
484033,978,-16
484947,768,-9
485602,751,-13
486453,950,-17
487250,694,-10
488174,902,-19
488956,944,-16
489771,787,-7
490646,939,-21
491521,1031,-11
492383,892,-7
493402,991,-16
494095,865,7
494728,756,-20
495587,724,-21
496990,1174,-20
497751,719,-13
498482,871,-12
499510,878,-14
500629,1095,-3
501281,677,-5
501942,776,-9
