timestep,ep_length,ep_reward
766,911,-9
1521,726,-21
2542,956,-9
3421,922,-9
4267,890,3
4905,727,-11
5640,881,-3
6426,843,-13
6983,668,-21
7798,686,-17
8779,909,3
9767,1136,-16
10626,824,7
11382,785,-4
12101,700,-15
12910,886,-5
13817,948,-21
14863,1010,-21
15657,940,6
16424,905,-14
17118,831,-19
18183,1115,-14
19026,973,-15
19805,780,-21
20466,620,-12
21386,1043,-6
22043,748,-12
22760,771,-13
24027,1064,-21
25061,960,14
25844,827,-21
26599,872,-18
27778,1061,-11
28766,969,-9
29647,856,-17
30246,600,-5
30988,913,-18
32040,992,-21
33066,905,-10
33658,700,3
34490,794,0
35487,890,-21
36337,814,-5
37124,882,-18
38465,1267,-21
39225,824,7
40180,1025,-9
41129,1092,-14
42079,829,-11
42989,1063,-8
43896,795,-16
44810,1125,-9
45654,928,0
46446,954,-16
47272,855,-11
48377,1114,-12
49605,1096,-17
50451,783,-11
51433,943,-15
52048,730,-21
53019,883,-13
53717,839,-2
54793,948,-4
55562,793,0
56760,1084,-12
57561,786,-12
58764,1031,1
59894,1000,-20
60773,763,-11
61802,1115,-13
62583,887,-9
63400,922,-21
64659,1055,-21
65414,927,20
66405,1026,-21
67336,1081,0
68214,899,0
68890,764,-19
69662,760,-17
70613,795,-12
71210,686,-11
72296,986,-9
73378,992,-19
73990,722,0
74674,747,-15
75775,1108,-15
76816,1106,-21
77626,1006,-6
78406,830,-17
79214,715,-4
79876,699,-11
80937,917,9
81925,1142,-21
82615,750,-12
83255,714,-8
83965,724,-21
85122,996,-20
86050,1064,-20
86782,716,-21
87475,822,-16
88336,824,-7
89287,849,-9
90301,968,-7
91105,904,-21
92060,921,-4
93135,998,-16
94272,1075,0
95274,841,-19
96058,809,-14
96946,809,-1
97994,1022,-16
99037,950,-10
99680,695,-5
100570,764,-21
101210,678,-9
102595,1185,-6
103545,859,-15
104382,836,-21
105224,919,-17
106124,1106,-13
106734,694,-5
107765,1043,-8
108670,1013,-15
109770,1178,-5
110365,650,-21
111436,1097,-4
112085,711,-21
112864,840,-16
113763,939,1
114741,1149,0
115875,1131,-7
117060,1174,-19
117970,791,1
118757,978,-9
119872,966,-16
120636,695,-16
121891,1172,-21
122902,956,-21
123504,752,-7
124483,1063,-21
125592,935,8
126603,1020,-8
127439,886,-17
128480,1058,-17
129105,758,-21
130377,1221,-21
131402,932,0
132469,1134,-14
133232,730,-16
134512,1321,-21
135279,910,-21
136051,746,-3
136858,789,12
137849,856,-20
138856,1022,2
139778,1123,-9
140632,999,-17
141530,831,-11
142409,936,-8
143667,1056,6
144428,886,-11
145660,1094,-7
146487,795,-12
147343,1035,-14
148520,982,-7
149316,891,-17
150084,913,-9
150933,796,-10
151623,811,-6
152329,807,-16
153267,942,5
154169,1113,-21
154994,783,-14
155708,705,-10
156642,847,-18
157498,782,-21
158695,1042,-21
159759,1096,-21
160749,1003,-21
162012,1211,-8
162910,932,-21
163891,925,0
164641,890,-10
165293,732,-20
166091,917,-18
166927,727,-3
167927,975,-19
168878,1106,-15
169699,858,-21
170724,873,-21
171753,932,-2
172729,1219,-14
173648,1085,-21
174644,841,2
175328,600,-6
176092,838,-21
176775,600,-18
177948,1001,-15
178961,859,-16
179862,906,-21
180977,974,-8
181910,930,-3
182867,987,0
183717,810,-16
184494,848,-17
185406,845,-19
186202,876,-7
186870,801,-20
188045,1040,-9
188791,707,-18
189953,1024,-10
190986,867,3
192080,951,7
192720,634,-21
193489,840,-14
194522,891,-7
195569,1148,-6
196531,864,-21
197205,715,-2
197952,667,9
198549,701,-18
199243,793,-12
199994,915,-21
200788,744,-14
201796,957,-21
202468,600,-21
203428,836,-21
204246,756,-20
205112,992,-3
205973,848,-21
206557,731,-3
207502,799,-15
208317,884,-19
209199,959,-21
209903,797,-14
210632,776,-15
211423,937,2
212245,695,6
213189,938,-21
213716,600,-18
214703,900,-21
215771,924,-21
216626,1046,-21
217925,1117,-21
218786,751,-6
219470,845,-16
220508,1041,-20
221598,1122,-14
222333,865,-13
223431,1027,-21
224457,1132,-1
225130,837,-7
225942,721,-9
226667,709,0
227576,808,-12
228513,1166,-21
229409,942,-21
230106,700,-21
230643,600,-6
231493,956,-4
232433,917,7
233000,700,0
233484,600,-8
234494,916,7
235473,1089,-21
236408,928,-4
237464,1106,-21
238165,743,-4
238992,725,-18
240248,1081,-21
241082,802,-11
242248,1058,0
242983,713,-8
243888,826,-12
244421,647,-8
245382,876,-21
246399,968,-16
247159,829,-15
247768,715,-7
248885,1031,-10
250145,1349,-16
251515,1168,-10
252199,739,-21
252772,691,-21
253267,600,-10
254340,901,-8
255565,1341,0
256408,898,-14
257298,869,-12
258407,985,-21
259246,939,-7
260654,1225,6
261360,809,-15
262190,983,-12
263160,1018,-21
263868,665,-21
265119,1070,-21
266009,859,-14
266830,767,-21
267928,952,-21
269121,1112,-21
269770,749,-14
270502,852,-15
271417,1065,0
272434,896,0
273548,1024,-21
274359,796,-21
275117,921,-17
276110,954,-9
277053,864,-2
277946,1016,-21
278699,805,-21
279719,909,-21
280514,724,-14
281368,863,-21
282158,981,-1
283129,967,1
283992,831,-6
285175,1036,4
286163,1002,-21
287284,954,-13
288275,1055,-8
288950,694,-4
289882,1008,-7
290982,1184,-14
291803,870,-5
292423,700,-21
293462,922,-21
294050,692,-9
295132,959,-14
296311,1043,-6
297035,799,-11
297624,694,-21
298553,777,-16
299606,1066,5
300555,917,-10
301498,788,-14
302040,644,0
302741,735,-21
303944,1056,-19
304814,963,-19
305415,725,-19
306147,693,3
307299,1148,-12
308273,1038,0
309054,767,-21
309631,600,-7
310736,1159,4
311508,847,0
312552,999,-2
313377,904,-8
314195,783,-18
314966,857,-3
315756,875,-17
316613,897,-7
317583,1186,-21
318621,900,-21
319787,1105,-20
320692,802,-10
321620,1025,-19
322674,903,-8
323617,807,-1
324360,820,-6
325175,813,-21
326094,1082,-13
326778,662,-10
327791,920,-21
328914,1033,-13
329986,1003,-11
331053,1033,-21
332237,1022,-18
333478,1183,-21
334321,850,-2
335427,1040,-13
336519,962,-20
337574,921,-7
338676,1271,-9
339284,742,-12
340333,942,-11
341178,902,-12
342079,843,-21
343007,941,-21
344304,1213,-14
