timestep,ep_length,ep_reward
954,927,-21
2039,998,-21
3059,1106,3
3826,742,-9
4529,749,-21
5521,898,-9
6609,1077,-13
7351,767,-7
8301,1127,-18
9050,830,-9
9984,879,-11
10717,666,-7
11426,841,-7
12349,930,-17
13225,905,-6
14152,879,-21
15035,783,-9
16273,1163,-4
17192,903,0
18337,1026,-13
19020,600,-21
19846,758,-12
20945,1123,-8
21764,865,-9
22532,719,-20
23302,886,-15
24022,817,-20
25094,1115,-17
26234,974,-14
26865,659,-21
27839,1084,7
28736,1118,-13
29600,960,-1
30755,982,-15
31808,945,-5
32704,911,-21
33612,913,-13
34221,694,1
35161,836,-7
36149,1005,-7
37090,1120,-20
37900,848,-21
38522,659,-6
39902,1182,-12
40768,811,-10
41665,973,-14
42451,786,-18
43329,1018,-18
44331,856,-18
45240,1012,-17
46170,927,-6
47109,828,-1
48024,880,-21
48888,770,-21
49537,600,-14
50661,1070,-7
51645,1033,-21
52494,925,-19
53090,600,-5
54449,1170,-15
54929,600,-8
55712,839,-6
56255,654,-10
57155,945,-21
58198,1066,-7
59256,964,0
59971,762,-19
60814,828,-9
61534,657,-2
62029,600,-18
63072,1072,-21
63828,735,4
64763,892,-16
65913,965,-10
66752,827,-17
67467,790,-21
68346,1032,-7
69053,778,-6
69890,955,-13
70828,1025,-17
71515,791,-2
72516,886,-16
73325,784,-21
74252,988,-4
75179,1103,-14
76300,1077,-11
77105,1004,-12
78106,1001,-17
78919,757,-19
79752,738,4
80436,616,-5
81549,1168,-10
82116,604,-21
83251,957,-20
84107,1048,-20
85335,1036,-3
86351,872,-16
86974,756,-5
88000,952,-18
88738,906,-7
89742,872,-17
90812,1256,-5
91607,859,-21
92737,972,-3
93824,1045,-21
94616,958,-4
95289,759,-12
96115,976,-21
97104,921,-2
98278,1017,-18
99114,846,-3
99901,767,-21
100539,715,-21
101318,955,-1
102458,979,-15
103312,828,-10
104215,867,-19
105079,830,-13
105758,726,-21
106852,920,-11
107692,798,-7
108354,774,-6
109520,981,-8
110143,631,-21
110976,924,-6
111533,600,-12
112400,879,2
113289,847,-13
114066,904,-21
115148,984,-21
116056,911,-21
117096,911,-10
117942,806,-20
118977,1064,-17
119789,923,-21
120337,670,-16
121064,899,-6
121953,962,-3
123028,1206,-6
123948,1011,-8
125040,1021,-21
125750,793,-10
126774,940,-21
127540,955,-8
128432,749,-12
129396,1123,-21
130209,749,-17
131270,925,-13
131842,700,-15
132958,1105,-12
134154,1083,-20
135177,863,7
136069,768,-21
136963,998,-21
137770,692,-8
138608,826,-4
139536,950,-9
140172,600,-19
141110,808,-1
141904,944,-4
142575,729,-21
143422,876,-11
144253,972,-12
145178,902,-11
145921,739,-6
146806,756,-21
147737,1031,-13
148499,933,-21
149487,855,2
150424,991,1
151400,895,3
152101,600,0
153324,1098,0
154208,747,-12
154997,759,-21
155582,679,-10
156659,1114,3
157408,804,-21
158407,898,-21
159277,1038,-21
160227,883,-10
161131,919,-14
161867,797,0
162747,901,-11
164262,1352,-12
165164,819,-20
166089,875,-5
167089,916,-20
168095,1109,-3
168916,954,-14
169652,880,-7
170358,811,-11
171051,849,-7
172092,912,-6
172821,825,-21
173598,956,10
174432,853,-2
175135,802,-5
175735,600,-16
176653,913,-21
177712,886,-21
178710,972,-21
179492,884,-21
180468,896,-12
181063,663,-5
182019,935,-5
183183,1153,-16
184232,987,-4
185112,965,-8
185720,618,3
186430,863,-10
187220,718,-19
188031,911,-7
188929,1000,-17
189786,899,-20
190741,835,-21
191776,893,-11
192493,689,-13
193401,915,-17
194541,993,-10
195628,916,-16
196455,750,-12
197310,852,-21
198049,699,-21
199174,1047,-12
200281,1198,-7
201156,750,-21
202417,1083,-10
203210,760,-6
204324,1034,-21
205276,852,-2
206167,820,-19
207457,1172,6
208463,985,-17
209299,914,-12
210295,846,-15
210886,735,-21
211758,842,-12
212630,927,-21
213743,966,-17
214576,894,-7
215576,1163,-4
216354,891,-12
217028,758,-15
217936,857,-17
219190,1072,-5
219913,771,-17
220747,839,-18
221729,870,-11
222759,862,-21
223515,842,-21
224307,834,-13
224966,697,-6
225887,890,-16
226804,844,-16
227654,825,-21
228460,769,-20
229484,1032,-5
230242,865,0
230975,761,-9
231932,1030,-21
233004,1035,-15
233991,826,-14
235175,1035,-10
236118,1085,-21
237067,982,-21
237852,922,-15
238459,675,-10
239365,904,-21
240328,892,2
241222,891,-21
242213,1191,-17
242997,723,-17
243958,1102,-14
244581,659,-18
245565,845,-21
246555,831,-14
247502,1104,-21
248273,953,-6
249618,1170,-21
250603,952,1
251352,860,-13
252372,991,-9
253251,888,-21
254076,991,-1
255130,1030,-3
255809,679,-11
256362,656,-21
257050,767,-21
257921,773,-6
258761,739,-21
259880,1031,-21
260637,633,-4
261445,871,-9
262795,1213,-21
263692,813,-11
264490,889,-21
265406,946,-6
266321,949,-21
267163,706,-1
268170,977,-18
268973,750,-18
269768,899,-6
270420,729,-21
271292,990,-14
272156,826,-21
273247,1084,-16
273910,600,-12
274671,900,0
275541,1016,-6
276412,989,-9
277289,972,0
278128,943,-21
279082,875,-21
279864,821,-20
280800,910,-21
281738,951,-11
282640,770,-5
283303,716,-14
284058,640,-21
284818,644,-13
285549,888,-2
286346,819,-21
286946,702,-3
288248,1093,-11
289045,850,-21
290251,1086,-5
291176,789,-12
292314,1071,-21
293358,904,-10
294289,1029,-21
295453,1044,-11
296275,882,-21
297158,818,-9
298062,787,-11
299160,1188,-12
300351,1043,-15
301524,981,-7
302414,900,-18
303548,963,-10
304168,669,-11
304861,852,14
305692,750,-6
306629,974,-21
307272,721,-10
308435,1101,-16
309327,834,-20
310058,856,-21
310958,986,1
311880,986,-20
312863,1083,-5
313678,834,-16
314710,1015,-19
315378,767,-14
316168,716,-18
317125,1130,-18
317844,627,-13
318731,944,-12
319873,1088,-21
320508,765,-21
321301,711,4
322075,768,-13
322920,1022,-19
324100,1026,-15
324986,1008,-21
326240,1049,-10
326944,762,-16
327866,980,-16
328602,823,-9
329357,790,-14
330363,869,-15
331305,1027,-15
332478,1055,-2
333566,1013,-18
334330,731,-13
335140,702,-16
335949,931,2
336726,840,-15
337617,919,-3
338349,901,-15
339167,823,-11
339887,708,-9
340764,793,-11
341406,730,-4
342311,927,-10
342925,683,-18
343823,1084,-4
344594,930,-8
345460,812,1
346382,828,-19
347513,966,-12
348325,940,-7
349118,978,-18
349876,928,-21
350578,804,-21
351519,952,9
352341,842,-21
353034,826,-14
353928,1058,-20
354985,909,-5
355598,756,-5
356252,734,-13
356980,625,4
357902,1022,-10
359077,991,-19
359817,887,-13
360591,720,3
361584,1103,-9
362372,913,-12
363445,1030,-21
364184,726,-1
365067,998,-11
366030,1060,-21
367096,898,-13
367933,927,1
369035,1137,-9
370069,973,-13
371048,965,-10
372116,1041,-13
372746,680,0
373493,885,-9
374040,654,-21
375244,1095,7
376037,939,-12
376967,878,-12
377843,797,-18
378840,1128,5
379984,992,-1
381200,1138,-8
382222,887,-21
383446,1024,9
384206,935,-13
385008,877,-7
386189,1310,-7
387062,979,-12
387781,783,0
388482,833,-19
389281,880,-14
390383,1002,0
391565,1243,-10
392516,1067,-19
393069,625,-18
394042,938,-4
394989,862,0
395702,653,-1
396293,702,-20
397104,708,-14
397960,800,-1
398733,960,-3
399610,946,-15
400539,851,-20
401560,924,-11
402806,1079,-10
403562,899,-10
404665,1069,-8
405780,974,-6
406444,824,-17
407322,807,-17
408194,877,1
409215,920,-21
410201,1059,-20
411098,817,-7
411955,987,-21
412952,1020,-21
414066,1052,2
415010,809,-6
416218,1037,-18
416917,845,-9
417882,845,-18
418624,685,-3
419632,1053,-12
420546,839,-3
421195,617,-10
422289,1064,-12
423104,950,1
424550,1248,-19
425400,904,-6
426403,1056,-21
427475,1116,-9
428298,1018,0
429058,678,-17
429902,899,-11
430682,780,-8
431543,957,-8
432846,1139,-4
433757,885,-19
434570,735,-20
435401,785,-21
436089,733,-21
436959,778,-16
437518,647,2
438322,699,-21
439417,1021,-3
440472,941,-15
441142,774,2
442071,916,-21
442777,662,-16
443948,1030,-15
444911,905,-2
445995,913,-21
446934,1084,-18
447669,865,-9
448456,745,-21
449479,925,-6
450422,910,-6
451510,932,-11
452294,795,-12
453191,791,-21
453725,607,-17
454332,717,-5
454900,695,-12
455881,1045,-17
457133,1123,3
458074,965,-14
459122,907,-12
459924,962,-5
460768,732,-9
461672,1075,0
