timestep,ep_length,ep_reward
706,664,-11
1773,896,-10
2643,936,-3
3659,974,-14
4686,1092,-20
5428,883,-1
6513,1061,0
7563,997,-11
8420,1004,0
9420,1133,-1
10387,847,-7
11370,851,-14
12111,767,-5
12976,809,-16
13552,653,-3
14131,600,-6
14874,690,-14
15528,787,-17
16242,812,-16
16970,792,-18
17834,804,-16
18513,822,-18
19253,899,-1
20276,987,5
21153,821,-14
22011,777,-17
22710,670,9
23832,1068,-13
24661,982,-21
25512,863,-18
26131,600,7
27182,1080,-1
28208,1051,-21
28877,748,-21
29664,776,-12
30610,921,-4
31552,1051,-13
32223,811,-7
33185,1103,0
34177,1056,-3
35075,890,-1
36078,1167,-21
36930,912,-12
37930,1120,-5
39101,1263,-17
40263,1053,-8
41089,881,-7
41845,908,-6
42386,600,-1
42899,630,-21
43538,600,-21
44396,907,-2
44936,614,0
45671,762,1
46548,1018,-10
47486,888,1
48288,973,-9
48985,779,-10
49974,960,0
50611,743,3
51678,1061,-4
52483,802,-5
53571,1117,-8
54456,971,5
55165,773,-18
56234,963,-18
57127,971,-21
58022,921,-21
59239,1108,-6
60108,987,-5
61115,927,-12
62524,1176,-6
63109,688,-16
63727,771,-7
64726,1024,-10
65713,845,-19
66613,1087,-21
67522,816,-21
68874,1172,-12
69636,703,-14
70466,807,-14
71091,600,-15
71826,859,-19
72884,916,-21
74075,1052,-16
75033,917,-21
75900,937,-17
76498,680,-2
77538,1077,-15
78400,869,1
78963,694,-12
79594,670,-6
80941,1131,-19
82107,1070,-19
83017,769,-21
83858,787,-6
84388,619,-16
85195,969,-6
85953,739,-21
86701,705,-10
87584,795,-21
88389,734,-14
89437,1215,0
90013,712,-9
91010,1032,-15
91904,846,-7
92576,706,6
93367,821,-21
94071,865,-17
94987,793,-17
95845,917,-8
96664,795,1
97739,1040,9
99007,1072,-6
99813,991,-13
100469,800,-14
101445,971,-21
102722,1097,-17
103564,827,-8
104312,862,-18
105252,1051,-10
106005,898,-21
106979,1032,-13
107898,984,-13
108563,650,-8
109815,1091,-8
110685,807,-20
111378,855,-10
112303,840,-18
113295,902,-21
114339,1147,-11
115094,920,-6
115884,751,-20
116759,988,-21
117828,911,-12
118740,1075,-15
119797,1090,-21
120526,882,-6
121349,714,-8
122180,1022,-11
123045,866,-6
123885,1038,-21
125010,941,-2
126132,1076,-11
127305,994,-12
128141,966,-17
128900,778,-21
129890,1204,-21
130981,957,-13
131786,757,-8
132621,991,-15
133538,1027,-16
134358,893,-21
135127,785,-21
136079,816,-1
137239,968,-10
138122,826,-4
138870,746,-2
139774,833,-16
140947,1173,-10
141761,709,-15
143003,1036,-9
143849,858,-21
144961,966,-17
145750,965,1
146638,783,-10
147528,1012,-9
148264,871,-10
149417,1191,-9
150431,886,-6
151319,1054,-15
152239,917,-21
153251,853,-7
154185,877,-18
155192,1019,-3
155877,733,-21
156568,837,-7
157222,816,0
158052,1001,-9
159160,1045,-12
159904,824,-21
160881,1074,-16
161756,737,-17
162852,970,-16
163812,818,-21
164831,1052,-10
165577,780,-11
166480,856,7
167366,947,-11
167908,600,-15
168871,842,-3
170010,1174,-2
171079,977,-2
171890,943,-17
173147,1114,-10
173869,716,-14
175074,1008,-8
175774,773,-11
176580,959,-19
177477,793,-21
178575,1097,-10
179263,836,-10
180132,859,-17
181164,944,-5
181779,626,-8
183030,1158,3
183762,854,-11
184619,830,-12
185449,819,-12
186219,872,-11
187259,1050,-18
