timestep,ep_length,ep_reward
224,914,-21.0
426,843,-20.0
611,764,-21.0
800,783,-21.0
1004,825,-21.0
1197,792,-21.0
1415,890,-21.0
1612,822,-21.0
1865,1024,-20.0
2085,905,-21.0
2278,792,-21.0
2489,871,-21.0
2744,1035,-21.0
2972,930,-20.0
3228,1053,-20.0
3432,844,-21.0
3644,854,-21.0
3844,824,-21.0
4107,1062,-20.0
4318,863,-21.0
4524,844,-21.0
4742,903,-21.0
4970,941,-20.0
5169,825,-21.0
5408,964,-20.0
5632,921,-20.0
5859,921,-20.0
6121,1054,-21.0
6374,1018,-21.0
6613,982,-20.0
6816,824,-21.0
7023,843,-21.0
7211,764,-21.0
7407,820,-21.0
7616,872,-21.0
7897,1147,-19.0
8148,1018,-20.0
8382,965,-21.0
8595,888,-21.0
8808,871,-21.0
9074,1078,-19.0
9274,820,-21.0
9511,964,-20.0
9694,764,-21.0
9904,872,-21.0
10118,880,-21.0
10356,966,-20.0
10568,866,-20.0
10777,852,-21.0
11012,947,-21.0
11222,872,-21.0
11431,873,-21.0
11684,1038,-20.0
11924,966,-20.0
12210,1152,-20.0
12469,1054,-21.0
12700,945,-21.0
12943,992,-21.0
13221,1121,-20.0
13469,1028,-21.0
13708,979,-21.0
13929,903,-20.0
14133,843,-21.0
14347,870,-21.0
14599,1018,-21.0
14866,1100,-19.0
15065,811,-21.0
15319,1048,-21.0
15597,1139,-20.0
15869,1108,-20.0
16092,930,-21.0
16373,1156,-20.0
16676,1235,-20.0
16960,1169,-20.0
17255,1213,-21.0
17496,987,-20.0
17777,1139,-19.0
18016,982,-20.0
18290,1115,-20.0
18597,1241,-21.0
18845,1020,-21.0
19137,1203,-20.0
19490,1444,-21.0
19722,946,-21.0
20069,1397,-21.0
20416,1401,-18.0
20747,1358,-20.0
21132,1569,-17.0
21425,1184,-18.0
21766,1377,-20.0
22191,1717,-18.0
22564,1505,-20.0
22938,1515,-17.0
23341,1631,-19.0
23703,1472,-20.0
24164,1860,-16.0
24419,1040,-21.0
24748,1346,-19.0
25165,1695,-19.0
25522,1463,-20.0
25862,1388,-18.0
26266,1651,-18.0
26661,1602,-19.0
26990,1334,-20.0
27391,1640,-20.0
27840,1822,-18.0
28293,1842,-17.0
28698,1651,-16.0
29111,1676,-18.0
29583,1908,-17.0
29954,1498,-19.0
30429,1922,-15.0
30804,1524,-21.0
31173,1491,-20.0
31533,1466,-20.0
31981,1799,-19.0
32442,1877,-21.0
32827,1554,-18.0
33190,1462,-19.0
33612,1718,-19.0
34077,1872,-14.0
34521,1792,-19.0
34856,1356,-20.0
35256,1634,-15.0
35629,1507,-20.0
36117,1969,-17.0
36569,1833,-18.0
37012,1792,-17.0
37324,1280,-18.0
37817,1983,-15.0
38485,2694,-13.0
38852,1485,-20.0
39309,1837,-19.0
39782,1919,-18.0
40267,1957,-18.0
40623,1446,-19.0
41075,1829,-19.0
41492,1682,-20.0
41987,2005,-17.0
42350,1471,-20.0
42827,1937,-17.0
43312,1970,-18.0
43738,1734,-18.0
44149,1662,-17.0
44539,1590,-17.0
44879,1377,-20.0
45386,2048,-18.0
45844,1845,-16.0
46287,1781,-19.0
46750,1889,-19.0
47238,1990,-17.0
47642,1644,-19.0
48093,1826,-16.0
48604,2056,-16.0
49075,1899,-16.0
49566,1985,-17.0
49999,1744,-21.0
50433,1760,-16.0
50898,1873,-16.0
51324,1721,-20.0
51847,2113,-18.0
52378,2156,-13.0
52840,1855,-18.0
53389,2216,-17.0
53976,2375,-16.0
54426,1819,-19.0
54861,1770,-18.0
55512,2630,-14.0
55941,1740,-19.0
56543,2430,-17.0
57021,1942,-19.0
57464,1808,-20.0
57828,1488,-20.0
58458,2544,-16.0
58924,1875,-18.0
59405,1944,-18.0
59878,1907,-19.0
60359,1935,-18.0
60789,1733,-20.0
61312,2115,-16.0
