timestep,ep_length,ep_reward
209,854,-21.0
406,825,-21.0
595,782,-21.0
826,951,-19.0
1015,764,-21.0
1261,1005,-21.0
1448,764,-21.0
1638,793,-21.0
1835,802,-21.0
2035,824,-21.0
2221,764,-21.0
2472,1033,-21.0
2659,764,-21.0
2892,951,-20.0
3091,825,-21.0
3326,966,-20.0
3530,824,-21.0
3730,824,-21.0
3919,764,-21.0
4135,881,-21.0
4325,782,-21.0
4508,764,-21.0
4691,764,-21.0
4875,764,-21.0
5064,764,-21.0
5249,764,-21.0
5437,764,-21.0
5641,825,-21.0
5830,764,-21.0
6015,764,-21.0
6203,764,-21.0
6410,843,-20.0
6598,764,-21.0
6780,764,-21.0
6982,844,-20.0
7205,913,-21.0
7393,764,-21.0
7577,764,-21.0
7759,764,-21.0
7963,835,-21.0
8157,792,-21.0
8350,792,-21.0
8542,782,-21.0
8747,853,-21.0
8930,764,-21.0
9152,914,-21.0
9355,824,-21.0
9549,792,-21.0
9736,764,-21.0
9932,792,-21.0
10115,764,-21.0
10297,764,-21.0
10482,764,-21.0
10739,1035,-19.0
10954,867,-21.0
11167,871,-20.0
11359,792,-21.0
11557,811,-21.0
11753,792,-21.0
11949,820,-21.0
12134,764,-21.0
12324,782,-21.0
12522,820,-21.0
12710,764,-21.0
12898,764,-21.0
13151,1043,-19.0
13338,764,-21.0
13580,1000,-19.0
13771,792,-21.0
13957,764,-21.0
14169,885,-21.0
14367,825,-21.0
14612,1000,-19.0
14809,824,-21.0
14992,764,-21.0
15177,764,-21.0
15410,946,-21.0
15664,1043,-20.0
15862,810,-21.0
16063,820,-21.0
16247,764,-21.0
16436,792,-21.0
16619,764,-21.0
16805,764,-21.0
17016,853,-21.0
17204,764,-21.0
17387,764,-21.0
17595,861,-20.0
17783,764,-21.0
17970,764,-21.0
18156,764,-21.0
18344,764,-21.0
18530,764,-21.0
18732,825,-21.0
18917,764,-21.0
19119,824,-21.0
19354,963,-21.0
19564,870,-21.0
19764,824,-21.0
19946,764,-21.0
20165,902,-21.0
20354,793,-21.0
20562,853,-21.0
20795,949,-20.0
20985,793,-21.0
21205,903,-20.0
21459,1043,-19.0
21642,764,-21.0
21862,903,-20.0
22048,764,-21.0
22347,1207,-20.0
22559,870,-21.0
22782,913,-21.0
22969,764,-21.0
23169,824,-21.0
23412,981,-20.0
23595,764,-21.0
23797,824,-21.0
24079,1138,-19.0
24263,764,-21.0
24466,824,-21.0
24733,1085,-21.0
24927,792,-21.0
25140,886,-21.0
25382,984,-19.0
25630,1008,-21.0
25872,993,-21.0
26058,764,-21.0
26241,764,-21.0
26474,942,-21.0
26690,884,-21.0
26922,945,-21.0
27140,880,-21.0
27374,964,-21.0
27576,825,-21.0
27810,957,-20.0
28044,958,-20.0
28251,843,-21.0
28436,764,-21.0
28637,826,-21.0
28828,792,-21.0
29011,764,-21.0
29216,852,-21.0
29441,918,-20.0
29625,764,-21.0
29838,870,-21.0
30039,824,-21.0
30251,861,-21.0
30474,902,-21.0
30671,825,-21.0
30875,854,-21.0
31094,902,-21.0
31302,853,-21.0
31521,886,-21.0
31815,1190,-21.0
32080,1084,-20.0
32283,826,-21.0
32475,792,-21.0
32731,1035,-21.0
32948,884,-21.0
33155,852,-21.0
33362,859,-20.0
33551,764,-21.0
33752,824,-21.0
33972,909,-21.0
34173,824,-21.0
34402,944,-21.0
34624,912,-21.0
34869,1001,-19.0
35054,764,-21.0
35302,1022,-21.0
35554,1043,-20.0
35752,824,-21.0
36012,1063,-21.0
36229,877,-20.0
36446,890,-21.0
36670,914,-21.0
36862,782,-21.0
37055,783,-21.0
37306,1026,-19.0
37534,919,-20.0
37720,764,-21.0
37937,886,-21.0
38149,884,-21.0
38365,890,-21.0
38568,824,-21.0
38775,853,-21.0
38999,904,-21.0
39202,826,-21.0
39406,844,-20.0
39639,945,-21.0
39856,883,-21.0
40065,859,-20.0
40273,842,-20.0
40489,885,-21.0
40715,934,-19.0
40919,853,-21.0
41176,1057,-20.0
41367,783,-21.0
41580,859,-20.0
41823,1001,-20.0
42046,907,-20.0
42250,844,-21.0
42555,1250,-20.0
42791,980,-20.0
43069,1127,-21.0
43297,946,-21.0
43554,1042,-20.0
43783,947,-21.0
43986,825,-21.0
44199,886,-21.0
44400,824,-21.0
44602,824,-21.0
44835,944,-21.0
45096,1069,-20.0
45329,947,-21.0
45548,884,-21.0
45751,825,-21.0
45993,982,-20.0
46208,886,-21.0
46406,824,-21.0
46628,920,-20.0
46835,853,-21.0
47057,921,-20.0
47348,1175,-21.0
47546,824,-21.0
47739,792,-21.0
47973,950,-20.0
48186,887,-21.0
48391,842,-20.0
48648,1061,-19.0
48908,1069,-20.0
49118,871,-21.0
49323,852,-21.0
49514,793,-21.0
49748,954,-20.0
49955,859,-20.0
