timestep,ep_length,ep_reward
209,854,-21.0
406,825,-21.0
595,782,-21.0
871,1133,-20.0
1091,886,-21.0
1284,792,-21.0
1490,840,-21.0
1687,823,-21.0
1882,792,-21.0
2072,783,-21.0
2278,844,-20.0
2462,764,-21.0
2669,844,-21.0
2863,793,-21.0
3093,947,-21.0
3277,764,-21.0
3473,792,-21.0
3678,842,-20.0
3874,792,-21.0
4104,940,-19.0
4310,843,-21.0
4509,826,-21.0
4692,764,-21.0
4876,764,-21.0
5065,764,-21.0
5266,826,-21.0
5454,764,-21.0
5658,824,-21.0
5847,764,-21.0
6032,764,-21.0
6220,764,-21.0
6407,764,-21.0
6595,764,-21.0
6784,792,-21.0
6966,764,-21.0
7159,792,-21.0
7347,764,-21.0
7531,764,-21.0
7718,783,-21.0
7905,764,-21.0
8107,824,-21.0
8308,824,-21.0
8495,764,-21.0
8683,783,-21.0
8880,820,-21.0
9065,764,-21.0
9268,824,-21.0
9455,764,-21.0
9642,764,-21.0
9836,783,-21.0
10039,843,-20.0
10256,905,-21.0
10441,764,-21.0
10630,764,-21.0
10854,903,-20.0
11045,783,-21.0
11261,887,-21.0
11485,913,-21.0
11714,923,-20.0
11927,888,-21.0
12227,1223,-21.0
12413,764,-21.0
12612,824,-21.0
12807,792,-21.0
13010,824,-21.0
13212,839,-21.0
13399,764,-21.0
13617,904,-20.0
13832,887,-21.0
14018,764,-21.0
14214,820,-21.0
14416,842,-20.0
14602,764,-21.0
14803,839,-21.0
14993,792,-21.0
15178,764,-21.0
15381,826,-21.0
15566,764,-21.0
15753,764,-21.0
15940,764,-21.0
16124,764,-21.0
16306,764,-21.0
16489,764,-21.0
16675,764,-21.0
16863,764,-21.0
17051,764,-21.0
17234,764,-21.0
17418,764,-21.0
17606,764,-21.0
17793,764,-21.0
17994,824,-21.0
18182,764,-21.0
18375,792,-21.0
18568,792,-21.0
18753,764,-21.0
18940,764,-21.0
19126,764,-21.0
19321,811,-21.0
19525,843,-20.0
19714,792,-21.0
19898,764,-21.0
20136,987,-20.0
20322,764,-21.0
20528,843,-20.0
20717,792,-21.0
20940,917,-20.0
21162,917,-20.0
21412,1033,-21.0
21627,885,-21.0
21820,792,-21.0
22023,825,-21.0
22216,792,-21.0
22408,792,-21.0
22637,932,-20.0
22856,902,-20.0
23079,899,-20.0
23262,764,-21.0
23449,764,-21.0
23695,991,-20.0
23879,764,-21.0
24091,860,-21.0
24298,843,-20.0
24485,764,-21.0
24716,960,-20.0
24903,764,-21.0
25102,811,-21.0
25287,764,-21.0
25473,764,-21.0
25656,764,-21.0
25989,1342,-17.0
26189,820,-21.0
26376,764,-21.0
26603,914,-21.0
26787,764,-21.0
26974,764,-21.0
27215,983,-20.0
27400,764,-21.0
27632,940,-19.0
27939,1250,-21.0
28187,1011,-20.0
28417,946,-21.0
28607,792,-21.0
28812,852,-21.0
28999,764,-21.0
29183,764,-21.0
29425,985,-19.0
29625,820,-21.0
29929,1227,-19.0
30118,764,-21.0
30329,879,-20.0
30586,1064,-18.0
30770,764,-21.0
31013,991,-19.0
31232,887,-21.0
31419,764,-21.0
31627,853,-21.0
31815,764,-21.0
32035,905,-20.0
32243,843,-20.0
32475,945,-21.0
32705,944,-21.0
32908,843,-21.0
33124,873,-21.0
33310,764,-21.0
33494,764,-21.0
33800,1242,-20.0
34006,854,-21.0
34198,792,-21.0
34383,764,-21.0
34606,914,-21.0
34815,867,-21.0
35012,824,-21.0
35270,1067,-21.0
35509,981,-20.0
35720,854,-21.0
35906,764,-21.0
36130,914,-21.0
36340,854,-21.0
36563,904,-20.0
36784,905,-21.0
36973,764,-21.0
37174,824,-21.0
37380,842,-20.0
37578,826,-21.0
37763,764,-21.0
38021,1044,-18.0
38226,848,-21.0
38434,843,-20.0
38644,852,-21.0
38884,990,-20.0
39086,824,-21.0
39303,886,-21.0
39551,1016,-20.0
39754,820,-21.0
39976,907,-21.0
40213,977,-20.0
40431,907,-20.0
40633,839,-21.0
40846,870,-20.0
41035,764,-21.0
41249,885,-21.0
41465,882,-21.0
41663,820,-21.0
41881,902,-20.0
42083,843,-21.0
42297,871,-20.0
42494,824,-21.0
42682,764,-21.0
42900,904,-20.0
43140,974,-21.0
43327,783,-21.0
43518,783,-21.0
43729,859,-20.0
43928,810,-21.0
44132,842,-20.0
44349,884,-21.0
44575,913,-21.0
44770,792,-21.0
44962,783,-21.0
45151,783,-21.0
45353,838,-21.0
45536,764,-21.0
45740,842,-20.0
45928,783,-21.0
46121,783,-21.0
46345,930,-20.0
46550,842,-20.0
46737,764,-21.0
46939,842,-20.0
47178,977,-19.0
47430,1041,-20.0
47619,783,-21.0
47825,853,-21.0
48013,783,-21.0
48204,792,-21.0
48421,886,-21.0
48619,824,-21.0
48819,824,-21.0
49004,764,-21.0
49192,783,-21.0
49416,904,-21.0
49647,961,-21.0
49859,882,-21.0
