timestep,ep_length,ep_reward
209,854,-21.0
406,825,-21.0
613,852,-21.0
841,939,-20.0
1030,764,-21.0
1249,899,-20.0
1447,811,-21.0
1652,852,-21.0
1840,764,-21.0
2079,982,-20.0
2280,824,-21.0
2471,793,-21.0
2759,1166,-18.0
3000,980,-19.0
3243,1000,-19.0
3456,880,-21.0
3687,932,-20.0
3887,824,-21.0
4091,826,-21.0
4282,782,-21.0
4468,764,-21.0
4666,824,-21.0
4864,824,-21.0
5048,764,-21.0
5260,856,-20.0
5452,792,-21.0
5660,843,-21.0
5849,764,-21.0
6045,792,-21.0
6230,764,-21.0
6418,764,-21.0
6605,764,-21.0
6798,782,-21.0
6980,764,-21.0
7162,764,-21.0
7348,764,-21.0
7536,764,-21.0
7735,825,-21.0
7917,764,-21.0
8140,909,-21.0
8327,764,-21.0
8532,842,-20.0
8719,764,-21.0
8922,843,-20.0
9105,764,-21.0
9290,764,-21.0
9478,764,-21.0
9704,921,-19.0
9891,764,-21.0
10080,764,-21.0
10263,764,-21.0
10445,764,-21.0
10630,764,-21.0
10819,764,-21.0
11008,764,-21.0
11195,764,-21.0
11380,764,-21.0
11566,764,-21.0
11755,764,-21.0
11937,764,-21.0
12122,764,-21.0
12308,764,-21.0
12508,826,-21.0
12696,764,-21.0
12884,764,-21.0
13067,764,-21.0
13254,764,-21.0
13437,764,-21.0
13621,764,-21.0
13807,764,-21.0
13989,764,-21.0
14172,764,-21.0
14373,824,-21.0
14555,764,-21.0
14738,764,-21.0
14938,824,-21.0
15125,764,-21.0
15310,764,-21.0
15497,764,-21.0
15684,764,-21.0
15868,764,-21.0
16050,764,-21.0
16233,764,-21.0
16419,764,-21.0
16607,764,-21.0
16795,764,-21.0
16978,764,-21.0
17162,764,-21.0
17350,764,-21.0
17537,764,-21.0
17723,764,-21.0
17911,764,-21.0
18097,764,-21.0
18283,764,-21.0
18468,764,-21.0
18655,764,-21.0
18841,764,-21.0
19025,764,-21.0
19210,764,-21.0
19392,764,-21.0
19576,764,-21.0
19758,764,-21.0
19944,764,-21.0
20130,764,-21.0
20312,764,-21.0
20497,764,-21.0
20701,843,-20.0
20884,764,-21.0
21069,764,-21.0
21271,826,-21.0
21459,764,-21.0
21645,764,-21.0
21830,764,-21.0
22017,764,-21.0
22202,764,-21.0
22406,824,-21.0
22589,764,-21.0
22776,764,-21.0
22965,764,-21.0
23149,764,-21.0
23337,764,-21.0
23524,764,-21.0
23711,764,-21.0
23893,764,-21.0
24080,764,-21.0
24267,764,-21.0
24452,764,-21.0
24638,764,-21.0
24836,824,-21.0
25040,825,-21.0
25226,764,-21.0
25413,764,-21.0
25607,783,-21.0
25791,764,-21.0
25978,764,-21.0
26164,764,-21.0
26349,764,-21.0
26537,764,-21.0
26737,824,-21.0
26923,764,-21.0
27107,764,-21.0
27290,764,-21.0
27473,764,-21.0
27660,764,-21.0
27844,764,-21.0
28046,824,-21.0
28251,842,-20.0
28439,764,-21.0
28662,902,-20.0
28844,764,-21.0
29041,826,-21.0
29225,764,-21.0
29426,824,-21.0
29614,764,-21.0
29801,764,-21.0
29986,764,-21.0
30174,764,-21.0
30363,783,-21.0
30551,764,-21.0
30738,764,-21.0
30943,842,-20.0
31126,764,-21.0
31354,921,-20.0
31540,764,-21.0
31724,764,-21.0
31910,764,-21.0
32094,764,-21.0
32279,764,-21.0
32469,783,-21.0
32654,764,-21.0
32837,764,-21.0
33034,825,-21.0
33217,764,-21.0
33402,764,-21.0
33591,764,-21.0
33777,764,-21.0
33964,764,-21.0
34152,764,-21.0
34356,826,-21.0
34542,764,-21.0
34731,764,-21.0
34917,764,-21.0
35104,764,-21.0
35286,764,-21.0
35471,764,-21.0
35659,764,-21.0
35843,764,-21.0
36032,764,-21.0
36220,764,-21.0
36404,764,-21.0
36596,783,-21.0
36783,764,-21.0
36975,792,-21.0
37171,792,-21.0
37357,764,-21.0
37541,764,-21.0
37743,843,-20.0
37926,764,-21.0
38112,764,-21.0
38301,764,-21.0
38516,888,-21.0
38703,764,-21.0
38887,764,-21.0
39070,764,-21.0
39252,764,-21.0
39439,764,-21.0
39621,764,-21.0
39809,764,-21.0
39992,764,-21.0
40180,764,-21.0
40362,764,-21.0
40548,764,-21.0
40750,824,-21.0
40938,764,-21.0
41123,764,-21.0
41310,764,-21.0
41499,764,-21.0
41691,782,-21.0
41894,826,-21.0
42079,764,-21.0
42293,886,-21.0
42476,764,-21.0
42661,764,-21.0
42844,764,-21.0
43032,764,-21.0
43215,764,-21.0
43401,764,-21.0
43588,764,-21.0
43770,764,-21.0
43971,825,-21.0
44154,764,-21.0
44373,905,-21.0
44557,764,-21.0
44755,826,-21.0
44939,764,-21.0
45126,764,-21.0
45309,764,-21.0
45494,764,-21.0
45679,764,-21.0
45878,825,-21.0
46067,764,-21.0
46249,764,-21.0
46431,764,-21.0
46618,764,-21.0
46800,764,-21.0
46984,764,-21.0
47173,764,-21.0
47355,764,-21.0
47542,764,-21.0
47758,887,-21.0
47946,764,-21.0
48134,764,-21.0
48319,764,-21.0
48508,764,-21.0
48710,842,-20.0
48914,826,-21.0
49099,764,-21.0
49282,764,-21.0
49469,764,-21.0
49671,824,-21.0
49859,764,-21.0
