timestep,ep_length,ep_reward
209,854,-21.0
418,870,-20.0
645,934,-21.0
845,830,-21.0
1057,854,-21.0
1280,912,-21.0
1497,885,-21.0
1707,873,-21.0
1919,863,-21.0
2141,912,-21.0
2327,764,-21.0
2535,861,-21.0
2737,824,-21.0
2924,764,-21.0
3123,826,-21.0
3373,1026,-21.0
3623,1009,-20.0
3808,764,-21.0
4027,886,-21.0
4258,943,-21.0
4459,824,-21.0
4642,764,-21.0
4848,854,-21.0
5032,764,-21.0
5221,764,-21.0
5421,825,-21.0
5609,764,-21.0
5818,844,-21.0
6022,825,-21.0
6267,1006,-21.0
6494,919,-20.0
6696,826,-21.0
6953,1039,-21.0
7151,825,-21.0
7348,822,-21.0
7534,764,-21.0
7722,764,-21.0
7937,886,-21.0
8150,887,-21.0
8337,764,-21.0
8555,886,-21.0
8780,921,-20.0
8983,826,-21.0
9182,826,-21.0
9365,764,-21.0
9626,1069,-21.0
9864,963,-20.0
10112,1009,-21.0
10299,764,-21.0
10526,915,-21.0
10814,1185,-19.0
11027,888,-21.0
11212,764,-21.0
11401,764,-21.0
11621,888,-21.0
11808,764,-21.0
12024,887,-21.0
12250,924,-21.0
12454,825,-21.0
12651,824,-21.0
12836,764,-21.0
13042,845,-21.0
13288,1010,-21.0
13506,886,-21.0
13725,888,-21.0
13968,1006,-21.0
14170,826,-21.0
14368,826,-21.0
14583,888,-21.0
14769,764,-21.0
14982,888,-21.0
15202,914,-21.0
15403,825,-21.0
15600,824,-21.0
15798,824,-21.0
16029,948,-21.0
16216,764,-21.0
16416,825,-21.0
16665,1012,-19.0
16852,764,-21.0
17036,764,-21.0
17234,825,-21.0
17494,1072,-20.0
17696,826,-21.0
17929,944,-21.0
18133,826,-21.0
18362,947,-21.0
18551,783,-21.0
18770,886,-21.0
18997,921,-20.0
19198,824,-21.0
19390,782,-21.0
19600,861,-20.0
19801,824,-21.0
20032,946,-21.0
20249,886,-21.0
20450,824,-21.0
20710,1068,-21.0
20955,1005,-21.0
21175,913,-21.0
21390,886,-21.0
21668,1149,-21.0
21915,1008,-21.0
22214,1214,-21.0
22442,948,-21.0
22722,1146,-21.0
22921,825,-21.0
23119,824,-21.0
23319,824,-21.0
23520,824,-21.0
23790,1093,-21.0
24006,886,-21.0
24191,764,-21.0
24393,824,-21.0
24608,886,-21.0
24812,824,-21.0
25010,826,-21.0
25212,824,-21.0
25481,1086,-20.0
25725,1007,-21.0
26002,1122,-21.0
26234,946,-21.0
26436,824,-21.0
26717,1158,-21.0
26939,903,-21.0
27150,861,-20.0
27350,824,-21.0
27605,1043,-20.0
27929,1330,-20.0
28149,888,-21.0
28365,886,-21.0
28583,888,-21.0
28787,824,-21.0
29155,1500,-17.0
29373,886,-21.0
29589,884,-21.0
29881,1192,-21.0
30091,852,-21.0
30336,1004,-21.0
30598,1069,-21.0
30873,1128,-21.0
31087,888,-21.0
31366,1146,-20.0
31584,887,-21.0
31833,1026,-21.0
32066,948,-21.0
32272,844,-21.0
32490,885,-21.0
32679,764,-21.0
32907,948,-21.0
33124,904,-20.0
33339,886,-21.0
33540,826,-21.0
33758,884,-21.0
33961,826,-21.0
34222,1068,-21.0
34475,1026,-21.0
34675,824,-21.0
34897,902,-21.0
35099,824,-21.0
35315,886,-21.0
35513,824,-21.0
35789,1112,-20.0
36005,884,-21.0
36300,1210,-20.0
36532,946,-21.0
36781,1024,-21.0
37036,1043,-20.0
37317,1148,-20.0
37533,886,-21.0
37834,1237,-20.0
38062,947,-21.0
38260,824,-21.0
38682,1713,-21.0
38890,843,-21.0
39121,945,-21.0
39358,965,-20.0
39576,886,-21.0
39814,963,-21.0
40081,1088,-20.0
40422,1373,-21.0
40692,1101,-20.0
41001,1251,-21.0
41263,1084,-20.0
41500,974,-21.0
41788,1164,-20.0
41987,824,-21.0
42214,919,-20.0
42447,944,-21.0
42661,884,-21.0
42887,919,-20.0
43104,886,-21.0
43450,1405,-20.0
43654,824,-21.0
43901,1009,-21.0
44130,946,-21.0
44327,826,-21.0
44556,945,-21.0
44777,903,-21.0
45063,1153,-21.0
45398,1370,-21.0
45666,1087,-20.0
45865,824,-21.0
46128,1084,-21.0
46347,913,-21.0
46580,947,-21.0
46793,887,-21.0
47073,1134,-21.0
47302,946,-21.0
47505,824,-21.0
47753,1026,-21.0
47954,824,-21.0
48236,1141,-21.0
48469,944,-21.0
48695,931,-21.0
48928,948,-21.0
49147,885,-21.0
49488,1376,-21.0
49760,1104,-19.0
49990,945,-21.0
