timestep,ep_length,ep_reward
209,854,-21.0
391,764,-21.0
591,826,-21.0
786,810,-21.0
997,853,-21.0
1201,839,-21.0
1435,952,-21.0
1652,901,-20.0
1840,764,-21.0
2025,764,-21.0
2250,919,-20.0
2449,826,-21.0
2641,783,-21.0
2828,764,-21.0
3027,825,-21.0
3226,824,-21.0
3415,764,-21.0
3600,764,-21.0
3831,934,-21.0
4033,825,-21.0
4250,887,-21.0
4449,826,-21.0
4632,764,-21.0
4816,764,-21.0
5005,764,-21.0
5210,844,-21.0
5414,826,-21.0
5608,783,-21.0
5797,764,-21.0
5982,764,-21.0
6170,764,-21.0
6403,947,-21.0
6591,764,-21.0
6796,853,-21.0
7000,852,-21.0
7204,838,-20.0
7411,843,-20.0
7595,764,-21.0
7804,873,-21.0
8021,884,-21.0
8208,764,-21.0
8409,824,-21.0
8596,764,-21.0
8786,792,-21.0
8991,852,-21.0
9191,824,-21.0
9386,793,-21.0
9603,886,-21.0
9790,764,-21.0
9979,764,-21.0
10162,764,-21.0
10351,792,-21.0
10543,792,-21.0
10732,764,-21.0
10921,764,-21.0
11108,764,-21.0
11293,764,-21.0
11486,792,-21.0
11682,792,-21.0
11879,822,-21.0
12079,824,-21.0
12265,764,-21.0
12449,764,-21.0
12637,764,-21.0
12825,764,-21.0
13008,764,-21.0
13195,764,-21.0
13396,838,-20.0
13580,764,-21.0
13766,764,-21.0
13968,845,-21.0
14158,792,-21.0
14344,764,-21.0
14541,824,-21.0
14724,764,-21.0
14916,792,-21.0
15103,764,-21.0
15288,764,-21.0
15475,764,-21.0
15687,861,-20.0
15878,792,-21.0
16060,764,-21.0
16243,764,-21.0
16441,811,-21.0
16643,820,-21.0
16831,764,-21.0
17014,764,-21.0
17198,764,-21.0
17401,822,-21.0
17609,845,-21.0
17795,764,-21.0
18005,852,-21.0
18191,764,-21.0
18392,822,-21.0
18584,792,-21.0
18771,764,-21.0
18972,825,-21.0
19171,824,-21.0
19356,764,-21.0
19538,764,-21.0
19738,826,-21.0
19935,824,-21.0
20136,823,-21.0
20341,840,-21.0
20537,820,-21.0
20734,812,-21.0
20930,811,-21.0
21150,910,-21.0
21366,887,-21.0
21574,852,-21.0
21789,873,-21.0
21975,764,-21.0
22172,810,-21.0
22379,843,-21.0
22624,1004,-20.0
22813,764,-21.0
23010,821,-21.0
23209,810,-21.0
23413,825,-21.0
23613,830,-21.0
23816,824,-21.0
24029,870,-20.0
24216,764,-21.0
24428,881,-21.0
24634,840,-21.0
24857,908,-21.0
25070,878,-20.0
25295,921,-20.0
25524,949,-20.0
25728,826,-21.0
25918,782,-21.0
26146,929,-21.0
26374,918,-20.0
26596,916,-20.0
26831,955,-20.0
27044,871,-20.0
27237,793,-21.0
27458,898,-21.0
27678,904,-21.0
27900,909,-21.0
28122,914,-21.0
28345,923,-21.0
28559,885,-21.0
28753,792,-21.0
28956,842,-20.0
29170,871,-21.0
29420,1020,-20.0
29640,890,-20.0
29887,996,-19.0
30084,824,-21.0
30286,844,-20.0
30504,899,-20.0
30710,843,-20.0
30905,792,-21.0
31097,783,-21.0
31309,870,-20.0
31541,941,-21.0
31766,926,-20.0
31980,869,-21.0
32189,853,-21.0
32401,870,-20.0
32608,859,-20.0
32844,953,-20.0
33044,820,-21.0
33247,842,-20.0
33499,1029,-20.0
33702,842,-20.0
33932,945,-20.0
34167,961,-21.0
34381,878,-21.0
34588,858,-21.0
34832,1011,-20.0
35041,870,-20.0
35255,880,-20.0
35498,983,-20.0
35773,1120,-20.0
36025,1026,-19.0
36260,953,-20.0
36505,990,-20.0
36714,858,-21.0
36964,1008,-20.0
37241,1129,-20.0
37490,1013,-20.0
37741,1039,-19.0
37985,1002,-20.0
38185,812,-21.0
38465,1145,-18.0
38735,1091,-19.0
38961,917,-20.0
39237,1135,-18.0
39455,886,-21.0
39672,885,-21.0
39907,964,-20.0
40158,1014,-19.0
40435,1129,-19.0
40676,994,-20.0
40922,1022,-20.0
41132,871,-20.0
41392,1060,-20.0
41648,1030,-20.0
41931,1160,-18.0
42179,1008,-21.0
42414,969,-20.0
42638,926,-20.0
42884,1019,-20.0
43162,1126,-20.0
43391,952,-20.0
43602,858,-21.0
43851,1027,-19.0
44098,1001,-20.0
44314,901,-21.0
44569,1038,-19.0
44778,852,-21.0
45047,1090,-19.0
45236,783,-21.0
45481,998,-20.0
45692,853,-21.0
45952,1051,-18.0
46197,996,-20.0
46402,845,-21.0
46597,811,-21.0
46819,919,-20.0
47064,1005,-19.0
47290,934,-21.0
47534,990,-20.0
47746,883,-21.0
47943,811,-21.0
48197,1030,-19.0
48420,926,-20.0
48646,926,-20.0
48872,936,-20.0
49127,1046,-19.0
49348,912,-20.0
49617,1107,-18.0
49824,856,-21.0
