timestep,ep_length,ep_reward
209,854,-21.0
406,825,-21.0
606,826,-21.0
835,945,-21.0
1062,915,-21.0
1263,824,-21.0
1465,824,-21.0
1663,824,-21.0
1901,965,-20.0
2086,764,-21.0
2292,843,-21.0
2490,822,-21.0
2693,825,-21.0
2887,792,-21.0
3071,764,-21.0
3255,764,-21.0
3444,764,-21.0
3634,783,-21.0
3853,887,-21.0
4039,764,-21.0
4240,824,-21.0
4438,824,-21.0
4665,937,-19.0
4849,764,-21.0
5038,764,-21.0
5223,764,-21.0
5426,824,-21.0
5620,783,-21.0
5825,826,-21.0
6017,792,-21.0
6217,811,-21.0
6404,764,-21.0
6592,764,-21.0
6774,764,-21.0
6956,764,-21.0
7142,764,-21.0
7330,764,-21.0
7514,764,-21.0
7711,824,-21.0
7913,824,-21.0
8100,764,-21.0
8286,764,-21.0
8478,783,-21.0
8661,764,-21.0
8844,764,-21.0
9029,764,-21.0
9267,964,-20.0
9474,845,-21.0
9692,886,-21.0
9881,764,-21.0
10071,792,-21.0
10253,764,-21.0
10438,764,-21.0
10627,764,-21.0
10831,824,-21.0
11040,853,-21.0
11225,764,-21.0
11458,949,-21.0
11654,792,-21.0
11836,764,-21.0
12021,764,-21.0
12222,824,-21.0
12452,945,-21.0
12709,1041,-20.0
12897,764,-21.0
13110,884,-21.0
13297,764,-21.0
13480,764,-21.0
13695,886,-21.0
13896,824,-21.0
14113,903,-20.0
14322,870,-20.0
14508,764,-21.0
14690,764,-21.0
14873,764,-21.0
15058,764,-21.0
15245,764,-21.0
15430,764,-21.0
15671,983,-20.0
15858,764,-21.0
16047,783,-21.0
16272,933,-21.0
16485,885,-21.0
16741,1044,-20.0
16974,944,-21.0
17177,824,-21.0
17367,792,-21.0
17581,886,-21.0
17785,826,-21.0
18007,904,-20.0
18193,764,-21.0
18381,764,-21.0
18567,764,-21.0
18773,842,-21.0
18958,764,-21.0
19206,1011,-21.0
19399,792,-21.0
19583,764,-21.0
19798,885,-21.0
20011,886,-21.0
20211,826,-21.0
20423,886,-21.0
20640,888,-21.0
20868,930,-20.0
21064,820,-21.0
21330,1088,-21.0
21545,888,-21.0
21797,1038,-21.0
21982,764,-21.0
22213,945,-21.0
22436,903,-21.0
22703,1087,-21.0
22893,783,-21.0
23092,811,-21.0
23356,1079,-20.0
23626,1087,-20.0
23824,826,-21.0
24011,764,-21.0
24215,826,-21.0
24421,854,-21.0
24609,764,-21.0
24796,764,-21.0
25052,1040,-20.0
25243,800,-21.0
25461,887,-20.0
25715,1034,-21.0
25907,792,-21.0
26093,764,-21.0
26276,764,-21.0
26510,946,-21.0
26696,764,-21.0
26905,854,-21.0
27094,764,-21.0
27278,764,-21.0
27465,764,-21.0
27651,764,-21.0
27836,764,-21.0
28069,947,-20.0
28254,764,-21.0
28538,1156,-18.0
28738,826,-21.0
28991,1041,-20.0
29186,812,-21.0
29499,1269,-17.0
29766,1096,-21.0
29968,826,-21.0
30154,764,-21.0
30342,764,-21.0
30531,764,-21.0
30713,764,-21.0
30895,764,-21.0
31086,792,-21.0
31272,764,-21.0
31460,764,-21.0
31647,764,-21.0
31832,764,-21.0
32020,764,-21.0
32220,824,-21.0
32437,882,-21.0
32624,764,-21.0
32839,884,-21.0
33061,920,-20.0
33265,824,-21.0
33544,1135,-19.0
33743,826,-21.0
33959,885,-21.0
34162,842,-20.0
34406,1000,-19.0
34671,1083,-20.0
34876,842,-21.0
35074,824,-21.0
35268,811,-21.0
35466,824,-21.0
35666,826,-21.0
35885,885,-21.0
36071,764,-21.0
36273,826,-21.0
36522,1010,-21.0
36724,820,-21.0
36910,764,-21.0
37130,888,-21.0
37346,886,-21.0
37582,962,-20.0
37779,824,-21.0
37979,824,-21.0
38197,884,-21.0
38396,824,-21.0
38600,824,-21.0
38803,824,-21.0
38994,792,-21.0
39186,783,-21.0
39377,782,-21.0
39577,824,-21.0
39781,824,-21.0
40036,1040,-19.0
40227,792,-21.0
40414,783,-21.0
40643,946,-21.0
40944,1222,-21.0
41227,1141,-19.0
41433,854,-21.0
41733,1218,-21.0
41990,1055,-21.0
42219,948,-21.0
42454,976,-21.0
42686,945,-21.0
42944,1068,-21.0
43132,764,-21.0
43330,824,-21.0
43568,967,-21.0
43772,852,-21.0
43989,888,-21.0
44206,884,-21.0
44416,852,-21.0
44635,902,-20.0
44837,824,-21.0
45071,947,-21.0
45274,824,-21.0
45461,764,-21.0
45706,1007,-21.0
45919,884,-21.0
46163,1006,-21.0
46378,886,-21.0
46607,947,-21.0
46894,1162,-20.0
47096,843,-20.0
47302,844,-20.0
47519,884,-21.0
47716,824,-21.0
47917,826,-21.0
48130,886,-21.0
48394,1084,-20.0
48604,871,-21.0
48863,1067,-21.0
49092,945,-21.0
49309,885,-21.0
49523,886,-21.0
49723,824,-21.0
49938,884,-21.0
