timestep,ep_length,ep_reward
209,854,-21.0
406,825,-21.0
637,947,-21.0
826,783,-21.0
1058,935,-21.0
1251,792,-21.0
1453,826,-21.0
1636,764,-21.0
1856,894,-20.0
2041,764,-21.0
2227,764,-21.0
2411,764,-21.0
2613,824,-21.0
2800,764,-21.0
3011,871,-21.0
3240,945,-21.0
3429,764,-21.0
3630,825,-21.0
3834,824,-21.0
4040,844,-21.0
4272,947,-21.0
4505,965,-21.0
4727,919,-20.0
4926,824,-21.0
5145,886,-21.0
5330,764,-21.0
5533,825,-21.0
5729,792,-21.0
5918,764,-21.0
6121,838,-20.0
6332,854,-21.0
6539,844,-21.0
6762,904,-21.0
6967,853,-21.0
7149,764,-21.0
7335,764,-21.0
7553,884,-21.0
7757,844,-21.0
7939,764,-21.0
8126,764,-21.0
8333,842,-20.0
8519,764,-21.0
8706,764,-21.0
8896,792,-21.0
9094,824,-21.0
9300,850,-21.0
9488,764,-21.0
9682,793,-21.0
9869,764,-21.0
10084,868,-21.0
10267,764,-21.0
10449,764,-21.0
10634,764,-21.0
10845,852,-21.0
11068,899,-20.0
11275,844,-21.0
11460,764,-21.0
11676,884,-21.0
11900,903,-20.0
12105,854,-21.0
12290,764,-21.0
12476,764,-21.0
12660,764,-21.0
12848,764,-21.0
13066,884,-21.0
13279,886,-21.0
13503,912,-21.0
13693,792,-21.0
13897,844,-20.0
14130,951,-20.0
14312,764,-21.0
14510,824,-21.0
14696,764,-21.0
14902,859,-20.0
15104,842,-20.0
15309,842,-20.0
15496,764,-21.0
15681,764,-21.0
15868,764,-21.0
16055,764,-21.0
16239,764,-21.0
16421,764,-21.0
16604,764,-21.0
16811,847,-21.0
16999,764,-21.0
17187,764,-21.0
17377,792,-21.0
17581,843,-21.0
17769,764,-21.0
17956,764,-21.0
18142,764,-21.0
18330,764,-21.0
18576,1006,-21.0
18762,764,-21.0
18947,764,-21.0
19134,764,-21.0
19339,842,-20.0
19569,950,-20.0
19754,764,-21.0
19943,792,-21.0
20154,871,-20.0
20343,792,-21.0
20529,764,-21.0
20720,782,-21.0
20902,764,-21.0
21102,823,-21.0
21286,764,-21.0
21484,824,-21.0
21689,842,-20.0
21880,783,-21.0
22114,948,-21.0
22307,792,-21.0
22492,764,-21.0
22683,782,-21.0
22882,821,-21.0
23078,792,-21.0
23273,813,-21.0
23476,826,-21.0
23692,873,-21.0
23940,1023,-18.0
24148,843,-20.0
24340,783,-21.0
24527,764,-21.0
24709,764,-21.0
24908,811,-21.0
25102,793,-21.0
25318,888,-21.0
25557,978,-20.0
25747,792,-21.0
25936,764,-21.0
26142,843,-20.0
26373,941,-19.0
26586,861,-20.0
26784,820,-21.0
26978,792,-21.0
27179,824,-21.0
27371,792,-21.0
27563,782,-21.0
27832,1099,-20.0
28045,871,-21.0
28251,853,-21.0
28448,820,-21.0
28636,782,-21.0
28837,820,-21.0
29044,858,-21.0
29236,783,-21.0
29475,978,-20.0
29668,783,-21.0
29879,852,-21.0
30076,824,-21.0
30258,764,-21.0
30442,764,-21.0
30657,881,-21.0
30925,1082,-21.0
31166,980,-20.0
31404,974,-21.0
31718,1269,-20.0
31958,987,-21.0
32181,903,-21.0
32382,821,-21.0
32594,870,-20.0
32782,783,-21.0
33030,1000,-19.0
33251,902,-20.0
33449,820,-21.0
33647,810,-21.0
33882,970,-21.0
34117,964,-20.0
34309,792,-21.0
34521,870,-20.0
34749,942,-21.0
34958,872,-21.0
35183,932,-21.0
35383,824,-21.0
35579,792,-21.0
35785,843,-20.0
35991,842,-20.0
36184,783,-21.0
36379,793,-21.0
36572,793,-21.0
36776,824,-21.0
36969,793,-21.0
37177,849,-21.0
37366,792,-21.0
37558,793,-21.0
37758,811,-21.0
37951,797,-21.0
38165,865,-20.0
38365,812,-21.0
38556,792,-21.0
38777,899,-20.0
38971,792,-21.0
39176,842,-20.0
39380,824,-21.0
39580,820,-21.0
39771,793,-21.0
39977,861,-20.0
40202,931,-20.0
40400,811,-21.0
40594,783,-21.0
40782,783,-21.0
40974,783,-21.0
41248,1126,-20.0
41450,840,-21.0
41674,931,-20.0
41921,1003,-19.0
42153,963,-20.0
42348,793,-21.0
42553,852,-21.0
42748,792,-21.0
42964,898,-20.0
43211,1005,-20.0
43440,932,-21.0
43655,872,-20.0
43861,850,-21.0
44090,933,-21.0
44339,1004,-21.0
44573,949,-20.0
44789,879,-20.0
45080,1190,-18.0
45329,1027,-20.0
45541,881,-21.0
45770,940,-20.0
45972,838,-21.0
46199,919,-20.0
46427,945,-21.0
46658,947,-20.0
46860,821,-21.0
47076,899,-21.0
47302,925,-20.0
47567,1093,-21.0
47756,783,-21.0
47955,824,-21.0
48193,985,-20.0
48442,1026,-19.0
48647,837,-20.0
48862,890,-21.0
49118,1048,-19.0
49310,793,-21.0
49519,865,-20.0
49737,882,-21.0
50023,1181,-18.0
50232,871,-21.0
50458,919,-20.0
50655,822,-21.0
50904,1022,-19.0
51100,792,-21.0
51327,943,-19.0
51528,820,-21.0
51728,824,-21.0
51923,792,-21.0
52145,899,-20.0
52345,825,-21.0
52541,792,-21.0
52763,923,-20.0
53001,961,-20.0
53225,921,-20.0
53507,1159,-20.0
53769,1066,-20.0
54026,1047,-20.0
54258,939,-21.0
54474,873,-21.0
54663,783,-21.0
54887,931,-20.0
55112,922,-20.0
55364,1045,-20.0
55573,843,-20.0
55793,914,-21.0
56039,1005,-21.0
56275,968,-20.0
56559,1162,-20.0
56760,822,-21.0
56997,966,-20.0
57306,1256,-18.0
57651,1409,-18.0
57886,957,-21.0
58129,996,-20.0
58353,905,-21.0
58637,1147,-18.0
58912,1127,-20.0
59146,964,-21.0
59407,1081,-20.0
59641,962,-20.0
59888,1011,-21.0
60170,1150,-17.0
60451,1146,-19.0
60809,1470,-19.0
61178,1492,-18.0
61546,1502,-16.0
61888,1381,-19.0
62153,1075,-20.0
62488,1346,-18.0
62821,1338,-17.0
63181,1469,-16.0
63495,1294,-19.0
63720,937,-20.0
64069,1413,-18.0
64351,1148,-20.0
64680,1334,-20.0
64988,1252,-21.0
65332,1409,-19.0
65659,1333,-17.0
65901,988,-20.0
66291,1582,-18.0
66709,1690,-13.0
67076,1483,-19.0
67399,1323,-19.0
67764,1491,-17.0
68152,1569,-17.0
68476,1314,-19.0
68839,1462,-18.0
69081,1004,-20.0
69399,1292,-18.0
69698,1203,-19.0
70110,1678,-16.0
70424,1263,-21.0
70842,1705,-17.0
71056,881,-21.0
71391,1373,-20.0
71739,1420,-19.0
72095,1461,-19.0
72478,1559,-16.0
72810,1353,-18.0
73097,1182,-21.0
73406,1272,-21.0
73753,1413,-18.0
74102,1425,-20.0
74471,1507,-18.0
74782,1254,-20.0
75051,1099,-20.0
75365,1285,-19.0
75755,1586,-19.0
76083,1325,-19.0
76501,1685,-15.0
76809,1258,-18.0
77198,1563,-15.0
77618,1701,-17.0
78003,1552,-16.0
78315,1270,-19.0
78623,1238,-20.0
79031,1641,-18.0
79346,1276,-21.0
79675,1349,-20.0
80086,1655,-16.0
80416,1336,-19.0
80749,1350,-17.0
81170,1713,-17.0
81516,1402,-17.0
81799,1138,-19.0
82081,1139,-19.0
82423,1384,-19.0
82726,1248,-19.0
83176,1821,-15.0
83510,1346,-19.0
83982,1919,-18.0
84331,1416,-18.0
84691,1468,-18.0
85067,1513,-21.0
85388,1305,-20.0
