timestep,ep_length,ep_reward
216,883,-21.0
398,764,-21.0
598,825,-21.0
811,879,-20.0
1012,812,-21.0
1213,826,-21.0
1453,976,-20.0
1636,764,-21.0
1828,783,-21.0
2063,963,-21.0
2292,935,-21.0
2525,962,-20.0
2729,832,-21.0
2957,930,-20.0
3141,764,-21.0
3382,992,-21.0
3597,866,-20.0
3816,899,-21.0
4012,793,-21.0
4233,903,-20.0
4475,990,-21.0
4718,1005,-21.0
4938,912,-21.0
5172,963,-20.0
5415,981,-20.0
5634,899,-20.0
5839,830,-21.0
6109,1086,-20.0
6340,931,-21.0
6545,845,-21.0
6768,903,-21.0
7003,955,-20.0
7283,1130,-20.0
7472,792,-21.0
7685,888,-21.0
7871,764,-21.0
8063,783,-21.0
8272,862,-20.0
8459,783,-21.0
8653,793,-21.0
8862,850,-21.0
9067,843,-21.0
9285,887,-21.0
9482,820,-21.0
9702,912,-21.0
9929,931,-20.0
10139,852,-21.0
10347,849,-21.0
10561,870,-20.0
10817,1032,-19.0
11012,811,-21.0
11236,932,-21.0
11421,764,-21.0
11630,843,-21.0
11846,871,-20.0
12037,783,-21.0
12222,764,-21.0
12479,1047,-20.0
12700,891,-21.0
12946,1017,-20.0
13188,992,-20.0
13409,904,-21.0
13642,959,-20.0
13880,964,-20.0
14123,982,-20.0
14352,948,-20.0
14604,1023,-19.0
14870,1099,-18.0
15074,843,-21.0
15326,1027,-21.0
15538,886,-21.0
15725,783,-21.0
15974,1016,-19.0
16163,792,-21.0
16427,1088,-19.0
16639,871,-21.0
16859,894,-20.0
17071,872,-21.0
17292,903,-20.0
17536,991,-20.0
17739,839,-21.0
17970,959,-20.0
18217,1021,-20.0
18463,1004,-20.0
18666,824,-21.0
18922,1036,-20.0
19148,938,-19.0
19437,1185,-19.0
19701,1067,-20.0
19902,820,-21.0
20124,906,-20.0
20352,927,-21.0
20725,1513,-18.0
21073,1409,-18.0
21354,1145,-21.0
21740,1563,-17.0
22118,1535,-20.0
22418,1228,-20.0
22660,992,-21.0
22886,938,-20.0
23186,1225,-20.0
23521,1378,-19.0
23821,1221,-19.0
24136,1279,-19.0
24436,1233,-19.0
24781,1406,-20.0
25058,1135,-19.0
25413,1453,-18.0
25791,1534,-17.0
26134,1390,-21.0
26538,1630,-18.0
26849,1266,-18.0
27098,1018,-21.0
27425,1323,-18.0
27751,1330,-18.0
28088,1356,-19.0
28441,1446,-18.0
28832,1578,-18.0
29262,1729,-16.0
29611,1426,-17.0
29881,1091,-21.0
30278,1606,-19.0
30644,1481,-17.0
31024,1554,-19.0
31388,1470,-17.0
31813,1718,-15.0
32253,1784,-16.0
32591,1374,-18.0
32917,1336,-20.0
33307,1570,-18.0
33626,1295,-20.0
33996,1498,-20.0
34396,1609,-17.0
34812,1693,-17.0
35170,1446,-17.0
35614,1795,-16.0
35982,1496,-17.0
36404,1700,-18.0
36810,1646,-17.0
37206,1605,-17.0
37595,1582,-18.0
37977,1558,-18.0
38468,1994,-14.0
38833,1476,-19.0
39197,1483,-20.0
39618,1699,-18.0
39995,1530,-16.0
40378,1543,-19.0
40860,1936,-13.0
41316,1858,-16.0
