timestep,ep_length,ep_reward
239,974,-21.0
436,825,-21.0
626,783,-21.0
825,825,-21.0
1021,793,-21.0
1245,916,-20.0
1466,903,-21.0
1686,915,-21.0
1889,826,-21.0
2137,1016,-20.0
2358,903,-20.0
2614,1054,-20.0
2816,824,-21.0
3041,918,-20.0
3252,871,-21.0
3451,824,-21.0
3660,842,-20.0
3903,993,-20.0
4114,854,-21.0
4342,931,-20.0
4570,934,-20.0
4788,905,-21.0
4994,854,-21.0
5209,886,-21.0
5420,852,-21.0
5612,792,-21.0
5830,883,-21.0
6061,932,-21.0
6282,890,-21.0
6569,1172,-18.0
6811,978,-21.0
7024,870,-20.0
7232,843,-20.0
7457,933,-21.0
7676,910,-21.0
7891,883,-21.0
8086,792,-21.0
8292,852,-21.0
8474,764,-21.0
8661,764,-21.0
8868,845,-21.0
9073,842,-20.0
9275,824,-21.0
9474,826,-21.0
9715,998,-19.0
9900,764,-21.0
10164,1068,-18.0
10388,913,-21.0
10611,906,-20.0
10800,764,-21.0
11014,886,-21.0
11230,899,-20.0
11422,792,-21.0
11669,996,-20.0
11894,908,-20.0
12181,1166,-20.0
12381,821,-21.0
12625,996,-19.0
12884,1044,-20.0
13113,951,-21.0
13348,964,-21.0
13567,896,-21.0
13758,792,-21.0
13950,783,-21.0
14152,820,-21.0
14335,764,-21.0
14551,881,-21.0
14749,825,-21.0
14938,783,-21.0
15144,842,-21.0
15368,933,-21.0
15571,844,-21.0
15786,880,-21.0
15996,873,-21.0
16223,939,-20.0
16502,1139,-19.0
16715,868,-21.0
16957,992,-21.0
17163,843,-21.0
17397,951,-21.0
17595,820,-21.0
17823,947,-21.0
18040,899,-20.0
18241,824,-21.0
18456,870,-20.0
18679,902,-21.0
18896,900,-21.0
19159,1082,-19.0
19367,843,-21.0
19581,870,-21.0
19831,1020,-20.0
20034,824,-21.0
20304,1102,-20.0
20521,887,-21.0
20751,944,-21.0
20964,871,-21.0
21196,949,-20.0
21433,976,-21.0
21702,1101,-20.0
21899,824,-21.0
22123,921,-20.0
22329,859,-21.0
22575,1003,-19.0
22899,1314,-17.0
23138,992,-20.0
