timestep,ep_length,ep_reward
224,914,-21.0
431,865,-20.0
620,782,-21.0
804,764,-21.0
993,764,-21.0
1199,844,-21.0
1448,1014,-21.0
1646,824,-21.0
1864,885,-21.0
2097,958,-20.0
2325,934,-19.0
2509,764,-21.0
2724,874,-21.0
2945,900,-20.0
3166,912,-21.0
3350,764,-21.0
3544,783,-21.0
3745,825,-21.0
3964,884,-21.0
4184,900,-20.0
4384,820,-21.0
4567,764,-21.0
4788,914,-21.0
4972,764,-21.0
5180,839,-21.0
5380,824,-21.0
5588,843,-21.0
5823,947,-21.0
6032,844,-21.0
6304,1112,-20.0
6492,764,-21.0
6722,935,-20.0
6990,1083,-20.0
7199,870,-21.0
7443,1010,-20.0
7700,1050,-21.0
7908,844,-21.0
8108,826,-21.0
8290,764,-21.0
8553,1068,-20.0
8755,825,-21.0
8990,960,-20.0
9192,824,-21.0
9382,792,-21.0
9598,898,-21.0
9810,872,-21.0
10033,903,-20.0
10259,921,-20.0
10499,976,-21.0
10789,1167,-20.0
10994,850,-21.0
11208,891,-21.0
11404,810,-21.0
11637,940,-20.0
11896,1046,-20.0
12230,1353,-17.0
12453,914,-21.0
12729,1121,-21.0
13046,1277,-20.0
13235,792,-21.0
13511,1126,-19.0
13741,942,-21.0
14033,1194,-18.0
14309,1119,-21.0
14612,1225,-20.0
14929,1299,-17.0
15153,913,-21.0
15424,1117,-21.0
15624,825,-21.0
15902,1130,-21.0
16157,1056,-20.0
16403,1016,-20.0
16869,1885,-16.0
17255,1578,-17.0
17547,1200,-19.0
17827,1143,-19.0
18133,1238,-20.0
18416,1158,-21.0
18670,1035,-21.0
18904,951,-20.0
19156,1036,-21.0
19413,1061,-21.0
19709,1215,-21.0
19981,1108,-21.0
20331,1410,-21.0
20779,1804,-17.0
21151,1521,-20.0
21691,2187,-16.0
22149,1843,-21.0
22608,1852,-18.0
23123,2077,-15.0
23488,1472,-19.0
23899,1664,-19.0
24342,1792,-18.0
24747,1644,-21.0
25103,1440,-18.0
25633,2143,-14.0
26118,1969,-17.0
26506,1578,-19.0
26917,1677,-19.0
27382,1885,-19.0
27774,1605,-18.0
28249,1922,-15.0
28677,1730,-19.0
29091,1691,-19.0
29493,1631,-18.0
29847,1443,-21.0
30326,1946,-16.0
30746,1705,-18.0
31291,2201,-17.0
31721,1731,-17.0
32226,2041,-16.0
32631,1643,-19.0
33036,1637,-19.0
33493,1851,-17.0
34019,2111,-15.0
34405,1577,-19.0
35099,2793,-12.0
35642,2180,-19.0
36119,1936,-19.0
36545,1715,-16.0
37019,1911,-16.0
37444,1717,-17.0
37916,1921,-18.0
38338,1701,-18.0
38733,1597,-20.0
39219,1971,-19.0
39692,1912,-19.0
40087,1612,-19.0
40513,1712,-18.0
40905,1589,-19.0
41488,2348,-15.0
42003,2069,-15.0
42499,2011,-14.0
43012,2067,-13.0
43500,1974,-18.0
44136,2568,-14.0
44656,2095,-16.0
45079,1717,-18.0
45646,2287,-16.0
46019,1520,-20.0
46435,1693,-17.0
46997,2280,-16.0
47419,1704,-18.0
47994,2328,-18.0
48510,2080,-17.0
49062,2228,-14.0
49592,2133,-16.0
50033,1774,-16.0
50471,1789,-17.0
50865,1614,-19.0
51478,2478,-15.0
51987,2055,-17.0
52403,1676,-18.0
52936,2148,-16.0
53506,2303,-16.0
54033,2122,-18.0
54503,1905,-17.0
54869,1477,-19.0
55274,1636,-18.0
55719,1801,-18.0
56243,2128,-19.0
56703,1848,-17.0
57225,2108,-17.0
57718,2002,-17.0
58208,1979,-16.0
58790,2358,-15.0
59291,2027,-17.0
59857,2287,-15.0
60395,2174,-14.0
60758,1483,-19.0
61373,2497,-14.0
61854,1958,-17.0
62432,2336,-13.0
63054,2498,-16.0
63666,2467,-15.0
64310,2594,-14.0
64854,2187,-15.0
65370,2074,-18.0
65900,2142,-19.0
66483,2339,-18.0
66997,2075,-16.0
67526,2132,-18.0
68077,2238,-16.0
68730,2635,-11.0
69303,2302,-16.0
69904,2430,-17.0
70469,2271,-14.0
71016,2200,-16.0
71520,2046,-18.0
71983,1867,-18.0
72503,2096,-18.0
73047,2200,-16.0
73502,1830,-19.0
74084,2348,-12.0
74640,2253,-16.0
75126,1980,-16.0
75584,1863,-18.0
76302,2890,-10.0
76884,2336,-16.0
77333,1824,-19.0
77871,2170,-17.0
78560,2783,-11.0
79159,2425,-16.0
79903,3012,-9.0
80636,2947,-9.0
81115,1950,-19.0
81605,1973,-16.0
82044,1787,-18.0
82608,2268,-18.0
83104,2018,-18.0
83617,2070,-17.0
84225,2448,-17.0
84694,1890,-19.0
85128,1760,-17.0
85668,2175,-14.0
86067,1604,-19.0
86758,2778,-13.0
87220,1863,-17.0
87738,2096,-15.0
88219,1957,-16.0
88642,1723,-18.0
89202,2266,-16.0
89656,1849,-21.0
90256,2411,-13.0
90827,2319,-14.0
91527,2823,-17.0
92181,2630,-13.0
92810,2552,-15.0
93525,2882,-15.0
94034,2071,-17.0
94678,2602,-14.0
95444,3095,-12.0
96205,3078,-13.0
96804,2424,-16.0
97544,2978,-11.0
98338,3206,-11.0
99378,4185,-6.0
100151,3117,-16.0
100793,2600,-16.0
101377,2343,-16.0
102147,3115,-9.0
102870,2928,-12.0
103650,3136,-11.0
104360,2876,-10.0
105017,2656,-15.0
105585,2280,-19.0
106231,2618,-10.0
106858,2526,-15.0
107579,2906,-12.0
108331,3021,-13.0
109024,2786,-9.0
109699,2723,-15.0
110442,2982,-12.0
111222,3155,-10.0
111997,3110,-9.0
112638,2589,-15.0
113422,3165,-13.0
114084,2664,-11.0
114777,2788,-8.0
115515,2966,-9.0
116390,3507,-10.0
117190,3227,-9.0
118109,3713,-8.0
118642,2154,-17.0
119186,2211,-15.0
119883,2795,-16.0
120650,3099,-12.0
121340,2780,-13.0
122057,2890,-12.0
122713,2649,-15.0
123370,2646,-16.0
123991,2504,-14.0
124973,3950,-10.0
125709,2971,-8.0
126441,2942,-12.0
126993,2231,-20.0
127901,3638,-8.0
128720,3285,-11.0
129576,3454,-7.0
130389,3280,-15.0
131143,3051,-12.0
132066,3718,-9.0
133104,4176,-3.0
133675,2305,-19.0
134528,3436,-8.0
135323,3215,-11.0
136030,2842,-13.0
136734,2848,-14.0
137668,3750,-6.0
138468,3216,-14.0
139168,2808,-13.0
139962,3182,-11.0
140934,3918,-10.0
141801,3506,-10.0
142453,2645,-15.0
143106,2629,-15.0
143721,2480,-14.0
144512,3183,-15.0
145327,3278,-13.0
146410,4363,-5.0
147107,2811,-14.0
147540,1753,-18.0
148350,3261,-9.0
149149,3217,-12.0
149909,3053,-12.0
150604,2812,-16.0
151485,3554,-9.0
152433,3806,-11.0
153271,3370,-10.0
154078,3239,-13.0
154634,2261,-21.0
155470,3366,-10.0
156394,3705,-10.0
157134,2988,-14.0
157876,2977,-12.0
158733,3460,-8.0
159347,2483,-16.0
160278,3757,-9.0
161350,4315,-7.0
162117,3105,-11.0
163028,3672,-7.0
163870,3396,-7.0
164400,2153,-16.0
165216,3299,-10.0
165999,3160,-10.0
166750,3034,-9.0
167494,3006,-10.0
168121,2520,-14.0
169087,3889,-3.0
169746,2667,-13.0
170740,4003,3.0
171390,2615,-14.0
172394,4029,-4.0
173197,3240,-7.0
173924,2917,-12.0
174596,2711,-11.0
175261,2674,-12.0
175872,2469,-16.0
176555,2738,-11.0
177306,3011,-12.0
177895,2374,-16.0
178451,2256,-16.0
179279,3323,-9.0
180126,3401,-8.0
180861,2956,-14.0
181553,2797,-12.0
182236,2750,-8.0
182904,2678,-11.0
183619,2872,-8.0
184254,2558,-11.0
185028,3133,-9.0
185659,2544,-9.0
186477,3279,-9.0
187124,2620,-13.0
187740,2481,-13.0
188517,3134,-12.0
189153,2555,-12.0
189763,2464,-11.0
190419,2637,-12.0
191239,3295,-7.0
192096,3442,-8.0
192918,3302,-12.0
193638,2895,-11.0
194598,3853,-5.0
195334,2959,-13.0
196424,4372,-2.0
197146,2912,-15.0
198033,3560,-9.0
198920,3583,-8.0
199674,3024,-9.0
