timestep,ep_length,ep_reward
224,914,-21.0
431,865,-20.0
620,782,-21.0
834,886,-21.0
1038,824,-21.0
1243,842,-20.0
1456,870,-21.0
1663,860,-21.0
1905,982,-20.0
2112,854,-21.0
2329,889,-20.0
2520,792,-21.0
2734,871,-21.0
2936,824,-21.0
3127,792,-21.0
3318,792,-21.0
3541,898,-20.0
3726,764,-21.0
3938,856,-20.0
4124,764,-21.0
4347,912,-21.0
4564,899,-21.0
4747,764,-21.0
5007,1067,-21.0
5218,854,-21.0
5418,825,-21.0
5640,899,-20.0
5872,934,-19.0
6084,854,-21.0
6305,907,-20.0
6500,792,-21.0
6776,1120,-20.0
6999,902,-21.0
7193,811,-21.0
7382,792,-21.0
7602,903,-21.0
7790,764,-21.0
8010,909,-21.0
8204,811,-21.0
8418,872,-21.0
8634,881,-21.0
8839,843,-20.0
9068,931,-20.0
9258,793,-21.0
9470,881,-21.0
9699,939,-20.0
9921,900,-20.0
10120,813,-21.0
10337,884,-21.0
10565,921,-20.0
10786,915,-21.0
10975,792,-21.0
11175,824,-21.0
11380,826,-21.0
11630,1007,-21.0
11843,871,-21.0
12033,783,-21.0
12265,948,-20.0
12498,940,-20.0
12696,826,-21.0
12888,793,-21.0
13109,906,-21.0
13305,812,-21.0
13508,824,-21.0
13711,825,-21.0
13949,983,-21.0
14136,764,-21.0
14338,842,-20.0
14549,872,-21.0
14773,914,-21.0
14991,907,-20.0
15198,860,-21.0
15406,854,-21.0
15643,983,-21.0
15861,904,-21.0
16063,832,-21.0
16293,937,-20.0
16520,932,-21.0
16766,1001,-20.0
16998,941,-21.0
17231,960,-21.0
17413,764,-21.0
17616,843,-20.0
17836,899,-20.0
18082,996,-19.0
18297,870,-20.0
18487,792,-21.0
18724,978,-20.0
18989,1073,-21.0
19205,879,-20.0
19403,811,-21.0
19617,871,-21.0
19867,1021,-21.0
20058,782,-21.0
20258,824,-21.0
20471,870,-20.0
20679,854,-21.0
20890,872,-21.0
21089,821,-21.0
21271,764,-21.0
21490,904,-20.0
21677,783,-21.0
21863,764,-21.0
22054,783,-21.0
22255,839,-21.0
22459,842,-20.0
22678,903,-20.0
22883,852,-21.0
23107,920,-19.0
23293,764,-21.0
23481,764,-21.0
23706,920,-21.0
23891,764,-21.0
24092,820,-21.0
24359,1094,-21.0
24605,994,-20.0
24810,852,-21.0
25026,880,-21.0
25244,882,-21.0
25447,840,-21.0
25666,888,-21.0
25925,1054,-18.0
26119,792,-21.0
26301,764,-21.0
26488,764,-21.0
26682,792,-21.0
26871,783,-21.0
27082,867,-21.0
27314,961,-21.0
27503,764,-21.0
27731,934,-20.0
27963,945,-20.0
28195,937,-21.0
28436,993,-19.0
28657,898,-20.0
28945,1173,-18.0
29130,764,-21.0
29329,811,-21.0
29558,939,-20.0
29751,792,-21.0
29984,960,-19.0
30216,958,-20.0
30411,811,-21.0
30620,854,-21.0
30809,783,-21.0
31038,931,-20.0
31236,811,-21.0
31424,764,-21.0
31653,925,-20.0
31835,764,-21.0
32082,1023,-20.0
32370,1178,-19.0
32625,1042,-21.0
32901,1114,-18.0
33108,843,-21.0
33357,1019,-20.0
33595,966,-21.0
33844,1021,-20.0
34039,792,-21.0
34314,1119,-18.0
34545,948,-19.0
34782,977,-20.0
35006,904,-21.0
35265,1055,-19.0
35506,991,-20.0
35771,1078,-20.0
35960,783,-21.0
36152,792,-21.0
36367,881,-21.0
36594,932,-21.0
36804,871,-20.0
37046,1004,-19.0
37253,861,-21.0
37450,811,-21.0
37661,852,-21.0
37862,824,-21.0
38054,783,-21.0
38262,844,-21.0
38470,842,-20.0
38685,880,-21.0
38879,783,-21.0
39123,997,-19.0
39330,844,-21.0
39526,820,-21.0
39716,783,-21.0
39916,811,-21.0
40135,902,-20.0
40324,764,-21.0
40547,904,-21.0
40793,1015,-19.0
40985,783,-21.0
41177,783,-21.0
41369,792,-21.0
41576,837,-20.0
41848,1107,-20.0
42067,903,-20.0
42254,783,-21.0
42466,879,-20.0
42664,811,-21.0
42906,977,-20.0
43174,1101,-18.0
43422,1008,-20.0
43654,958,-20.0
43897,1001,-19.0
44091,811,-21.0
44344,1028,-20.0
44553,870,-20.0
44748,792,-21.0
44981,962,-19.0
45191,853,-21.0
45378,783,-21.0
45621,992,-21.0
45893,1101,-18.0
46125,942,-21.0
46314,782,-21.0
46520,842,-20.0
46809,1165,-18.0
47050,977,-19.0
47244,792,-21.0
47441,812,-21.0
47659,903,-21.0
47907,1025,-20.0
48135,938,-20.0
48325,792,-21.0
48540,873,-21.0
48763,926,-20.0
48977,878,-20.0
49206,932,-20.0
49455,1033,-21.0
49738,1151,-19.0
49959,917,-20.0
50298,1383,-17.0
50662,1485,-18.0
50889,942,-20.0
51107,903,-20.0
51442,1358,-18.0
51672,949,-20.0
51916,998,-21.0
52165,1020,-21.0
52392,940,-20.0
52702,1250,-19.0
53006,1250,-18.0
53332,1341,-17.0
53568,960,-20.0
53805,982,-21.0
54053,1020,-21.0
54330,1116,-19.0
54573,1008,-20.0
54843,1097,-20.0
55151,1257,-19.0
55451,1211,-17.0
55750,1210,-19.0
55966,889,-21.0
56362,1595,-15.0
56689,1342,-17.0
56957,1082,-21.0
57245,1175,-20.0
57513,1104,-20.0
57828,1278,-18.0
58129,1223,-19.0
58440,1255,-19.0
58728,1160,-20.0
58985,1053,-19.0
59248,1087,-20.0
59578,1339,-18.0
59809,961,-21.0
60105,1194,-18.0
60417,1281,-18.0
60696,1136,-19.0
61001,1243,-20.0
61291,1187,-19.0
61556,1077,-20.0
61943,1565,-19.0
62236,1192,-18.0
62503,1097,-20.0
62765,1063,-19.0
63065,1224,-19.0
63377,1254,-17.0
63735,1444,-17.0
64056,1311,-19.0
64338,1156,-18.0
64677,1391,-18.0
64999,1314,-18.0
65322,1314,-17.0
65642,1304,-17.0
65983,1386,-17.0
66321,1390,-15.0
66535,872,-21.0
66797,1079,-19.0
67059,1061,-21.0
67366,1241,-19.0
67730,1464,-18.0
68020,1168,-17.0
68355,1372,-18.0
68572,903,-21.0
68814,1002,-21.0
69116,1223,-20.0
69376,1057,-19.0
69596,899,-21.0
69935,1375,-18.0
70157,921,-20.0
70504,1413,-19.0
70798,1195,-20.0
71040,989,-21.0
71445,1641,-15.0
71788,1385,-19.0
72032,1006,-20.0
72291,1064,-20.0
72603,1262,-19.0
72922,1291,-18.0
73196,1106,-20.0
73539,1406,-18.0
73856,1290,-19.0
74265,1644,-17.0
74574,1266,-20.0
75014,1769,-15.0
75351,1382,-18.0
75626,1125,-20.0
75926,1232,-20.0
76285,1462,-20.0
76502,903,-21.0
76825,1322,-18.0
77232,1656,-17.0
77544,1282,-19.0
77910,1500,-16.0
78382,1914,-16.0
78705,1323,-20.0
79135,1753,-16.0
79473,1364,-18.0
79879,1647,-17.0
80296,1700,-15.0
80659,1480,-18.0
80956,1201,-20.0
81437,1935,-15.0
81846,1663,-17.0
82318,1894,-15.0
82744,1727,-19.0
83149,1631,-17.0
83472,1314,-20.0
83752,1126,-20.0
84260,2042,-14.0
84641,1541,-19.0
84952,1276,-19.0
85351,1610,-19.0
85699,1405,-17.0
86153,1833,-16.0
86525,1514,-18.0
87008,1949,-14.0
87461,1819,-17.0
87822,1453,-20.0
88197,1519,-18.0
88534,1382,-21.0
88944,1662,-19.0
89310,1473,-19.0
89878,2305,-12.0
90261,1552,-16.0
90590,1343,-19.0
90901,1256,-19.0
91295,1597,-18.0
91754,1848,-17.0
92153,1610,-18.0
92476,1303,-21.0
92892,1681,-17.0
93374,1943,-16.0
93799,1713,-17.0
94313,2070,-14.0
94653,1375,-17.0
95092,1781,-18.0
95601,2050,-14.0
95961,1475,-18.0
96349,1562,-16.0
96700,1439,-19.0
97062,1472,-19.0
97444,1550,-18.0
97931,1970,-16.0
98341,1673,-17.0
98782,1799,-15.0
99173,1583,-16.0
99659,1965,-13.0
100062,1648,-17.0
100452,1573,-19.0
100952,2014,-15.0
101444,1985,-15.0
101858,1683,-18.0
102381,2115,-16.0
102718,1354,-19.0
103042,1314,-20.0
103417,1516,-18.0
103785,1495,-18.0
104297,2066,-18.0
104768,1917,-14.0
105178,1657,-16.0
105718,2186,-16.0
106114,1605,-16.0
106534,1704,-18.0
106914,1533,-17.0
107297,1565,-17.0
107584,1166,-21.0
107951,1501,-18.0
108496,2195,-15.0
108930,1764,-17.0
109273,1404,-19.0
109706,1750,-16.0
110150,1800,-17.0
110534,1558,-18.0
110915,1550,-17.0
111311,1610,-17.0
111679,1501,-21.0
112091,1673,-18.0
112448,1442,-18.0
112854,1635,-16.0
113362,2057,-12.0
113788,1730,-18.0
114207,1696,-20.0
114768,2251,-15.0
115273,2042,-16.0
115705,1742,-17.0
116066,1465,-18.0
116555,1975,-15.0
116875,1297,-19.0
117350,1933,-17.0
117728,1532,-19.0
118174,1820,-16.0
118607,1754,-17.0
119130,2109,-13.0
119467,1357,-20.0
119951,1953,-18.0
120430,1937,-15.0
120815,1574,-18.0
121277,1864,-14.0
121686,1649,-19.0
122093,1652,-19.0
122539,1795,-16.0
123019,1929,-16.0
123358,1380,-18.0
123836,1928,-14.0
124264,1727,-15.0
124710,1792,-18.0
125127,1693,-15.0
125506,1530,-18.0
125893,1576,-18.0
126291,1612,-19.0
126752,1874,-15.0
127190,1771,-17.0
127634,1800,-17.0
128086,1831,-16.0
128488,1629,-15.0
128949,1862,-13.0
129356,1658,-16.0
129838,1941,-15.0
130239,1617,-17.0
130702,1866,-15.0
131125,1714,-17.0
131560,1771,-15.0
131917,1463,-18.0
132399,1957,-16.0
132766,1477,-18.0
133176,1677,-17.0
133564,1587,-17.0
134002,1781,-14.0
134389,1558,-20.0
134858,1887,-19.0
135313,1841,-16.0
135783,1900,-16.0
136231,1822,-15.0
136640,1646,-18.0
137010,1489,-18.0
137509,2026,-16.0
137973,1875,-14.0
138398,1722,-16.0
138763,1481,-20.0
139225,1873,-16.0
139669,1792,-16.0
140088,1695,-18.0
140419,1343,-19.0
140950,2131,-14.0
141404,1824,-15.0
141877,1903,-15.0
142429,2214,-15.0
142891,1882,-15.0
143305,1668,-19.0
143803,2008,-14.0
144384,2356,-15.0
144821,1775,-18.0
145287,1875,-14.0
145727,1789,-17.0
146140,1673,-18.0
146638,2009,-16.0
147047,1659,-18.0
147532,1965,-15.0
147971,1788,-18.0
148415,1797,-17.0
148926,2057,-15.0
149521,2418,-12.0
149944,1707,-19.0
150446,2033,-15.0
150837,1588,-20.0
151239,1635,-16.0
151731,1975,-15.0
152189,1863,-13.0
152619,1754,-17.0
153180,2273,-13.0
153709,2134,-13.0
154261,2243,-13.0
154727,1894,-17.0
155134,1657,-20.0
155685,2217,-14.0
156147,1884,-17.0
156688,2197,-13.0
157075,1561,-17.0
157584,2057,-14.0
157979,1611,-16.0
158595,2489,-13.0
